Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company,Clustered
,Werkskraftwerk Sappi Alfeld,13.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Alfeld GmbH,no
,HKW Altenstadt,9.8,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,Heizkraftwerk Altenstadt GmbH & Co. KG,no
,Zellstoff Stendal GmbH,138.9,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,600,,,,,,,,,,,Zellstoff Stendal GmbH,no
,UTB,16.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pfleiderer Baruth GmbH,no
,BHW Beeskow,18.3,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sonae Arauco Beeskow GmbH,no
,BMKW Bergkamen,17.7,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Innogy SE,no
,HHKW Berlin-Neukölln,16.5,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,innogy SE,no
,ENERTRAG Netz GmbH  (UW Bertikow),20.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,ENERTRAG Aktiengesellschaft,no
,Biomassekraftwerk Bischofferode,18.1,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke Leipzig GmbH,no
,Egger Kraftwerk Brilon,18.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Egger Holzwerkstoffe Brilon GmbH & Co. KG,no
,Werkskraftwerk Sappi Ehingen,13.2,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Ehingen GmbH,no
,Werkskraftwerk Sappi Ehingen,8.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Ehingen GmbH,no
,Emden Biomasse,22.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Statkraft Markets GmbH,no
