Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company
,Rudolf-Fettweis-Werk     ,22.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Rudolf-Fettweis-Werk     ,43.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Gars,25.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Geesthacht,119.1,3.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,PSW Langenprozelten,164.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Donau-Wasserkraft AG
,Goldisthal,1052.0,4.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,KW Wyhlen,37.9,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Energiedienst AG
,Jochenstein,66.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Innwerk AG
,Happurg,160.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Häusern,100.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Schluchseewerk Aktiengesellschaft
,Koepchenwerk,165.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,Hohenwarte 1,59.8,2.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,Hohenwarte 2,317.8,8.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,Rheinkraftwerk Iffezheim,148.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Rheinkraftwerk Iffezheim GmbH
,Braunau-Simbach,100.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Innwerk AG
,Walchensee,124.0,1.0,DE,,,HDAM,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Erzhausen,220.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Statkraft Markets GmbH
,Markersbach,1045.2,6.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,Pumpspeicherkraftwerk Glems,90.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Bittenbrunn,20.2,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Donau-Wasserkraft AG
,Neuötting,26.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Lehmen,20.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Niederwartha,39.8,2.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,Nußdorf,48.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Innwerk AG
,Oberaudorf-Ebbs,60.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Innwerk AG
,Kachlet,53.7,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Rhein-Main-Donau GmbH
,Passau-Ingling,86.4,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Innwerk AG
,Perach,19.4,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Geisling,25.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Rhein-Main-Donau GmbH
,Rheinkraftwerk Reckingen,19.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,KW Rheinfelden,46.7,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Energiedienst AG
,Rosenheim,35.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Roßhaupten,45.5,1.0,DE,,,HROR,WAT,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Feldkirchen,38.2,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Rheinkraftwerk Ryburg-Schwörstadt ,30.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Detzem,24.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Bleiloch,79.8,2.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,Teufelsbruck,25.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Stammham,23.2,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Straubing,21.5,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Rhein-Main-Donau GmbH
,Kraftwerksgruppe Pfreimd,28.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,ENGIE Deutschland AG
,Kraftwerksgruppe Pfreimd,3.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,ENGIE Deutschland AG
,Kraftwerksgruppe Pfreimd,1.8,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,ENGIE Deutschland AG
,Töging,85.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Kraftwerksgruppe Pfreimd,99.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,ENGIE Deutschland AG
,Leitzach 1,48.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke München GmbH
,Leitzach 2,44.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke München GmbH
,Vohburg,23.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Donau-Wasserkraft AG
,Kraftwerk Waldshut,150.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Schluchseewerk Aktiengesellschaft
,Uppenborn 1,25.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke München GmbH
,Wasserburg,24.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,VERBUND-Innkraftwerke GmbH
,Wehr,910.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Schluchseewerk Aktiengesellschaft
,Wendefurth,79.7,2.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wasserkraft GmbH
,Wintrich,20.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Witznau,220.0,1.0,DE,,,HPHS,WAT,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Schluchseewerk Aktiengesellschaft
,Weserkraftwerk Bremen,9.9,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Weserkraftwerk Bremen GmbH & Co. KG
,Bigge,15.0,1.0,DE,,,HROR,WAT,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Bigge Energie GmbH & Co. KG
,Dessau,10.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Dettingen,11.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Kernkraftwerk Obrigheim GmbH
,Dingolfing,15.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Eitting,26.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Fankel,16.4,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Ellgau,9.7,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Bayerische Elektrizitätswerke GmbH
,Enkirch,18.4,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Altheim,17.8,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Serrig,12.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Schwammenauel,14.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Heimbach,16.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Höchstädt,10.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Bayerische Elektrizitätswerke GmbH
,Ingolstadt,19.8,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Donau-Wasserkraft AG
,Kaufering,16.7,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Unteropfingen,14.5,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Koblenz,16.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Faimingen,10.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Obere Donau Kraftwerke AG
,Urspring,10.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Prem,19.2,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Meitingen,11.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Bayerische Elektrizitätswerke GmbH
,Merching,12.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Pfrombach,22.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Müden,16.4,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Neef,16.4,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Niederaichbach,16.2,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Gummering,14.8,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Aufkirchen,27.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Oberpeiching,11.9,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Bayerische Elektrizitätswerke GmbH
,Landau,12.6,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Pielweichs,12.6,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Prittriching,12.1,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Rain,10.9,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Bayerische Elektrizitätswerke GmbH
,Bertoldsheim,18.9,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Donau-Wasserkraft AG
,Schwabstadl,12.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Scheuring,12.2,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Unterbergen,12.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,UPM Schongau,10.5,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,UPM GmbH
,Dornau,16.6,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Mühltal,11.2,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Tannheim,12.3,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Uppenborn 2,18.0,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke München GmbH
,Trier,18.8,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Obernach,12.8,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Ettling,12.6,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Zeltingen,13.6,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,innogy SE
,Kraftwerk 3,18.95,1.0,DE,,,HROR,WAT,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Alzkraftwerke Heider GmbH
,Lippendorf,875.0,1.0,DE,,,STUR,LIG,0.4,8.0,,,,,,,,,,,,,,230.0,,,,,,,,,,,Lausitz Energie Kraftwerke AG
,Braunkohlekraftwerk Lippendorf,875.0,1.0,DE,,,STUR,LIG,0.3976,8.0,,,,,,,,,,,,,,230.0,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Boxberg,2427.0,4.0,DE,,,STUR,LIG,0.3994,8.0,,,,,,,,,,,,,,125.0,,,,,,,,,,,Lausitz Energie Kraftwerke AG
,HKW Chemnitz  Nord II,56.8,1.0,DE,,,STUR,LIG,0.3712,8.0,,,,,,,,,,,,,,,,,,,,,,,,,eins - energie in sachsen GmbH & Co. KG
,HKW Chemnitz  Nord II,90.8,1.0,DE,,,STUR,LIG,0.376,8.0,,,,,,,,,,,,,,,,,,,,,,,,,eins - energie in sachsen GmbH & Co. KG
,HKW Cottbus,74.0,1.0,DE,,,STUR,LIG,0.3976,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke Cottbus mbH
,Deuben,67.0,1.0,DE,,,STUR,LIG,0.2464,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Mitteldeutsche Braunkohlengesellschaft mbH
,Frechen/Wachtberg,176.0,1.0,DE,,,STUR,LIG,0.3712,8.0,,,,,,,,,,,,,,251.0,,,,,,,,,,,RWE Power AG
,Frimmersdorf,2008.0,13.0,DE,,,STUR,LIG,0.3163692307692308,8.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,RWE Power AG
,Buschhaus,352.0,1.0,DE,,,STUR,LIG,0.364,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Helmstedter Revier GmbH
,Goldenberg,85.0,3.0,DE,,,STUR,LIG,0.3824,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,RWE Power AG
,Ville/Berrenrath,98.0,1.0,DE,,,STUR,LIG,0.2008,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,FKK,33.5,1.0,DE,,,STUR,LIG,0.3736,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Städtische Werke Energie + Wärme GmbH
,HKW Merkenich,75.3,1.0,DE,,,STUR,LIG,0.424,8.0,,,,,,,,,,,,,,139.3215859030837,,,,,,,,,,,RheinEnergie AG
,Mumsdorf,60.0,1.0,DE,,,STUR,LIG,0.3232,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Mitteldeutsche Braunkohlengesellschaft mbH
,Neurath,2091.0,5.0,DE,,,STUR,LIG,0.33664,8.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,RWE Power AG
,Niederaußem,3656.0,9.0,DE,,,STUR,LIG,0.3517333333333333,8.0,,,,,,,,,,,,,,245.0,,,,,,,,,,,RWE Power AG
,Fortuna Nord,15.0,1.0,DE,,,STUR,LIG,0.2536,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,KW Jänschwalde,2790.0,6.0,DE,,,STUR,LIG,0.384,8.0,,,,,,,,,,,,,,305.2,,,,,,,,,,,Lausitz Energie Kraftwerke AG
,Schkopau,900.0,2.0,DE,,,STUR,LIG,0.3904,8.0,,,,,,,,,,,,,,200.0,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Schwarze Pumpe,1500.0,2.0,DE,,,STUR,LIG,0.394,8.0,,,,,,,,,,,,,,120.0,,,,,,,,,,,Lausitz Energie Kraftwerke AG
,Wählitz,31.0,1.0,DE,,,STUR,LIG,0.3856,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Mitteldeutsche Braunkohlengesellschaft mbH
,Weisweiler,123.0,1.0,DE,,,STUR,LIG,0.292,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,Weisweiler,135.0,1.0,DE,,,STUR,LIG,0.3016,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,Weisweiler,321.0,1.0,DE,,,STUR,LIG,0.316,6.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,Weisweiler,321.0,1.0,DE,,,STUR,LIG,0.3208,6.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,Weisweiler,663.0,1.0,DE,,,STUR,LIG,0.3376,8.0,,,,,,,,,,,,,,91.5,,,,,,,,,,,RWE Power AG
,Weisweiler,656.0,1.0,DE,,,STUR,LIG,0.34,8.0,,,,,,,,,,,,,,91.5,,,,,,,,,,,RWE Power AG
,Kohlekraftwerk,19.5,1.0,DE,,,STUR,LIG,0.424,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Smurfit Kappa Zülpich Papier GmbH
,P&L Werk Euskirchen,14.5,1.0,DE,,,STUR,LIG,0.3496,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Pfeifer & Langen GmbH & Co. KG
,P&L Werk Jülich,23.22,1.0,DE,,,STUR,LIG,0.4096,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Pfeifer & Langen GmbH & Co. KG
,P&L Werk Könnern,20.3,1.0,DE,,,STUR,LIG,0.4336,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Pfeifer & Langen GmbH & Co. KG
,Kraftwerk,10.0,1.0,DE,,,STUR,LIG,0.388,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Martinswerk GmbH
,Kraftwerk,10.0,1.0,DE,,,STUR,LIG,0.388,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Martinswerk GmbH
,EZ1,23.3,1.0,DE,,,STUR,LIG,0.3832,8.0,,,,,,,,,,,,,,,,,,,,,,,,,"Südzucker AG, Werk Zeitz"
,BoA 2,1060.0,1.0,DE,,,STUR,LIG,0.4288,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,BoA 3,1060.0,1.0,DE,,,STUR,LIG,0.4288,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Power AG
,HKW Sachtleben,27.5,1.0,DE,,,STUR,LIG,0.3136,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Venator Germany GmbH
,Grubenheizkraftwerk,45.0,1.0,DE,,,STUR,LIG,0.3496,8.0,,,,,,,,,,,,,,,,,,,,,,,,,ROMONTA GmbH
,Kessel 4,9.3,1.0,DE,,,STUR,LIG,0.3592,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Papierfabrik Schoellershammer H. A. Schoeller Söhne GmbH & Co KG
,Ahrensfelde,150.0,4.0,DE,,,GTUR,GAS,0.354,5.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Lausitz Energie Kraftwerke AG
,Werkskraftwerk Sappi Alfeld,11.0,1.0,DE,,,STUR,GAS,0.3267,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Sappi Alfeld GmbH
,Heizkraftwerk Altbach/Deizisau,65.0,1.0,DE,,,GTUR,GAS,0.3722,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Heizkraftwerk Altbach/Deizisau,50.0,1.0,DE,,,GTUR,GAS,0.3046,1.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Heizkraftwerk Altbach/Deizisau,57.0,1.0,DE,,,GTUR,GAS,0.3098,0.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Heizkraftwerk Altbach/Deizisau,81.0,1.0,DE,,,GTUR,GAS,0.315,4.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Kesselhaus Zuckerfabrik,15.1,1.0,DE,,,STUR,GAS,0.3773,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Suiker Unie GmbH & Co. KG
,Gasturbine,82.6,2.0,DE,,,GTUR,GAS,0.38,4.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Stadtwerke Augsburg Energie GmbH
,KWK-Anlage Barby,17.8,1.0,DE,,,STUR,GAS,0.3784,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Cargill Deutschland GmbH
,HKW Kassel,12.2,1.0,DE,,,STUR,GAS,0.38,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Volkswagen AG
,"GuD Baunatal, VW Werksgelände",78.0,1.0,DE,,,COMC,GAS,0.5895,5.0,,,,,,,,,,,,,,,,,,,,,,,,,Volkswagen AG
,Mitte,444.0,1.0,DE,,,COMC,GAS,0.522,5.0,,,,,,,,,,,,,,1210.0,,,,,,,,,,,Vattenfall Wärme Berlin AG
,Charlottenburg,144.0,1.0,DE,,,STUR,GAS,0.3575,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Vattenfall Wärme Berlin AG
,Lichterfelde,721.0,4.0,DE,,,STUR,GAS,0.3721666666666667,4.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vattenfall Wärme Berlin AG
,Klingenberg,164.0,1.0,DE,,,STUR,GAS,0.4037,0.0,,,,,,,,,,,,,,590.0,,,,,,,,,,,Vattenfall Wärme Berlin AG
,Industriekraftwerk Bernburg (IKB),140.5,1.0,DE,,,COMC,GAS,0.63,5.0,,,,,,,,,,,,,,185.7321937321937,,,,,,,,,,,Solvay Chemicals GmbH
,HKW Schildescher Straße,64.0,2.0,DE,,,STUR,GAS,0.35365,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Stadtwerke Bielefeld GmbH
,Gasturbinenkraftwerk Bielefeld Ummeln,55.0,1.0,DE,,,GTUR,GAS,0.315,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,GuD Kraftwerk Hillegossen,37.5,1.0,DE,,,COMC,GAS,0.5625,5.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke Bielefeld GmbH
,GuD Bitterfeld,106.0,1.0,DE,,,COMC,GAS,0.54,5.0,,,,,,,,,,,,,,110.0,,,,,,,,,,,envia THERM GmbH
,Bochum,20.7,1.0,DE,,,STUR,GAS,0.3894,1.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Generation SE
,HKW Hiltrop,44.0,1.0,DE,,,STUR,GAS,0.3993,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke Bochum Holding GmbH
,Heizkraftwerk Karlstraße,95.0,1.0,DE,,,STUR,GAS,0.3993,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH
,Heizkraftwerk Süd,14.4,1.0,DE,,,STUR,GAS,0.38,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH
,HKW,63.0,2.0,DE,,,STUR,GAS,0.3839,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,StWB Stadtwerke Brandenburg an der Havel GmbH & Co. KG
,Kirchmöser,160.0,1.0,DE,,,COMC,GAS,0.513,5.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,HKW-Mitte,20.0,1.0,DE,,,COMC,GAS,0.4095,5.0,,,,,,,,,,,,,,56.1835396941005,,,,,,,,,,,Braunschweiger Versorgungs-AG & Co. KG
,HKW-Mitte,74.0,1.0,DE,,,COMC,GAS,0.585,5.0,,,,,,,,,,,,,,207.87909686817187,,,,,,,,,,,Braunschweiger Versorgungs-AG & Co. KG
,HKW-Nord,25.0,1.0,DE,,,GTUR,GAS,0.289,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Braunschweiger Versorgungs-AG & Co. KG
