Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company
,KW Hastedt,119.0,1.0,DE,,,STUR,HRD,0.3975,8.0,,,,,,,,,,,,,,150.0,,,,,,,,,,,swb Erzeugung AG & Co. KG
,KW Hafen,127.0,1.0,DE,,,STUR,HRD,0.345,8.0,,,,,,,,,,,,,,,,,,,,,,,,,swb Erzeugung GmbH & Co. KG
,KW Hafen,303.0,1.0,DE,,,STUR,HRD,0.3725,8.0,,,,,,,,,,,,,,39.0,,,,,,,,,,,swb Erzeugung AG & Co. KG
,Farge,350.0,1.0,DE,,,STUR,HRD,0.4425,8.0,,,,,,,,,,,,,,26.0,,,,,,,,,,,ENGIE Deutschland AG
,Datteln,303.0,3.0,DE,,,STUR,HRD,0.3391666666666666,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Knepper,345.0,1.0,DE,,,STUR,HRD,0.3525,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,HKW I,95.0,1.0,DE,,,STUR,HRD,0.3875,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke Duisburg AG
,HKW II/B,133.0,1.0,DE,,,STUR,HRD,0.3375,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke Duisburg AG
,KW Walsum,1224.0,3.0,DE,,,STUR,HRD,0.3916666666666666,8.0,,,,,,,,,,,,,,295.0,,,,,,,,,,,Steag GmbH
,Kraftwerk Ensdorf,389.0,2.0,DE,,,STUR,HRD,0.3925,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF)
,HKW Erlangen,17.4,1.0,DE,,,STUR,HRD,0.38,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Erlanger Stadtwerke AG
,Heizkraftwerk FL,31.0,1.0,DE,,,COMC,HRD,0.504,5.0,,,,,,,,,,,,,,44.00487804878049,,,,,,,,,,,Stadtwerke Flensburg GmbH
,Heizkraftwerk FL,33.0,1.0,DE,,,COMC,HRD,0.4905,5.0,,,,,,,,,,,,,,46.84390243902439,,,,,,,,,,,Stadtwerke Flensburg GmbH
,Heizkraftwerk FL,33.0,1.0,DE,,,COMC,HRD,0.4725,5.0,,,,,,,,,,,,,,46.84390243902439,,,,,,,,,,,Stadtwerke Flensburg GmbH
,Heizkraftwerk FL,35.0,1.0,DE,,,STUR,HRD,0.38,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke Flensburg GmbH
,Heizkraftwerk FL,23.0,1.0,DE,,,STUR,HRD,0.37,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Stadtwerke Flensburg GmbH
,HKW West,61.5,1.0,DE,,,STUR,HRD,0.395,8.0,,,,,,,,,,,,,,105.0,,,,,,,,,,,Mainova AG
,HKW West,61.5,1.0,DE,,,STUR,HRD,0.3975,8.0,,,,,,,,,,,,,,105.0,,,,,,,,,,,Mainova AG
,Scholven,2056.0,5.0,DE,,,STUR,HRD,0.3535,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Uniper Kraftwerke GmbH 
,FWK Buer,70.0,1.0,DE,,,STUR,HRD,0.3875,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Staudinger,249.0,1.0,DE,,,STUR,HRD,0.3375,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Staudinger,293.0,1.0,DE,,,STUR,HRD,0.35,6.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Staudinger,510.0,1.0,DE,,,STUR,HRD,0.405,8.0,,,,,,,,,,,,,,300.0,,,,,,,,,,,Uniper Kraftwerke GmbH 
,Tiefstack,194.0,1.0,DE,,,STUR,HRD,0.4075,8.0,,,,,,,,,,,,,,785.0,,,,,,,,,,,Wärme Hamburg GmbH
,Wedel,123.0,1.0,DE,,,STUR,HRD,0.4075,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Wärme Hamburg GmbH
,Wedel,137.0,1.0,DE,,,STUR,HRD,0.4075,8.0,,,,,,,,,,,,,,423.0,,,,,,,,,,,Wärme Hamburg GmbH
,Westfalen,2116.7,5.0,DE,,,STUR,HRD,0.3865,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,RWE Generation SE
,GKH,272.0,2.0,DE,,,STUR,HRD,0.3975,8.0,,,,,,,,,,,,,,425.0,,,,,,,,,,,enercity AG
,Heizkraftwerk Heilbronn,1028.0,3.0,DE,,,STUR,HRD,0.4491666666666667,8.0,,,,,,,,,,,,,,606.0,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,KW Herne,862.0,3.0,DE,,,STUR,HRD,0.3766666666666667,8.0,,,,,,,,,,,,,,550.0,,,,,,,,,,,Steag GmbH
