,CCGT,CHP,H2 turbine,Imports_Exports,battery storage,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,9.15615664349565E-07,1.32423719244076E-06,8.22136473284911E-07,10.492765938481,-47.3960795675302,-75.5656187240625,2.42303884875268,25.8174276059613,115.977242424531,-31.7487831549042,0,0,-5.48645478932611E-06,-4.81494117660466E-06,4.83961155726794E-06
2013-01-01 01:00:00,9.15569754815225E-07,1.32523854735942E-06,8.22351614275028E-07,10.5809058687716,-45.6831914107041,-74.2751840316396,2.4253080539423,23.2317965864166,115.469141643724,-31.7487833858923,0,0,-5.48663891474027E-06,-4.77451312762652E-06,4.8295821097531E-06
2013-01-01 02:00:00,9.15642875528556E-07,1.32560540859318E-06,8.22515361169484E-07,10.7501741089069,-41.5737709761366,-74.2320461023318,2.42840314284709,20.7515324810333,113.624484139706,-31.7487835132064,0,0,-5.48396881053255E-06,-4.73353366077486E-06,4.82727813888096E-06
2013-01-01 03:00:00,9.15743029311227E-07,1.32564853531637E-06,8.22626867718241E-07,10.9815735501348,-38.7149108912073,-78.6530647570589,2.43101071505406,21.5419404842043,114.162227801654,-31.7487836188912,0,0,-5.48465143892813E-06,-4.74659298530564E-06,4.83618392850761E-06
2013-01-01 04:00:00,9.15761263133494E-07,1.32546150212414E-06,8.22582668900206E-07,10.7540591885791,-24.0227325700687,-87.4707475707117,2.43471515431549,20.5744778389655,109.479005041388,-31.7487838420032,0,0,-5.47700036867486E-06,-4.72977866581997E-06,4.85181913768715E-06
2013-01-01 05:00:00,9.15644905962629E-07,1.32571390197075E-06,8.22364635073844E-07,9.77182198742731,-14.5771947239169,-90.6626020802565,2.44077468360258,19.1394717464468,105.636505680135,-31.7487841004169,0,0,-5.4700710140507E-06,-4.69421300594792E-06,4.85351027527704E-06
2013-01-01 06:00:00,9.15317595086738E-07,1.32611416318804E-06,8.22029855432095E-07,8.87170170612919,-1.51768759436014,-95.0347196556318,2.45055504911414,18.0654285830681,98.9135021860068,-31.7487869816867,0,0,-5.46537142823441E-06,-4.63954826498625E-06,4.85713978119996E-06
2013-01-01 07:00:00,9.20735524631587E-07,1.34869923867161E-06,8.33943193227726E-07,10.8289520649892,1.65068977542069,-96.8527158287119,2.45986805577544,18.5463899122539,95.1128886215489,-31.7460800353961,0,0,-5.20779086890731E-06,-4.41695321989796E-06,4.65048625406257E-06
2013-01-01 08:00:00,9.20230263581237E-07,1.34128558187291E-06,8.27751007706469E-07,7.1378158802806,-18.956985250383,-80.8156002879273,2.47172970256415,19.6444011559247,90.0976366780675,-31.7487834319735,12.1697874494638,-8.97803705803777E-06,-5.41045699247447E-06,-4.55986490652597E-06,4.86272495882019E-06
2013-01-01 09:00:00,9.21723409724643E-07,1.3511255893612E-06,8.30963994125205E-07,10.7656532820656,-44.686291946012,-66.4887422032327,2.48552417487862,20.0851418902127,87.4324736309232,-31.7487825306933,22.1550262581378,-9.69426724203267E-06,-5.39406095505119E-06,-4.54880761717941E-06,4.87181237810089E-06
2013-01-01 10:00:00,9.21704308826581E-07,1.35301840200943E-06,8.31110287182967E-07,11.3193503600775,-41.0864088553932,-61.8877986303473,2.50215539603086,21.6823854090007,73.7748001743134,-31.748782497064,25.444301337935,-9.83258143237231E-06,-5.3548686496142E-06,-4.58110217582618E-06,4.87522963708053E-06
2013-01-01 11:00:00,9.21364583227527E-07,1.35493452614136E-06,8.31350793939789E-07,10.7241851093493,-40.7502541002725,-61.461675056373,2.52406382149718,21.8854547144801,72.9097810289655,-31.7487824937359,25.9172322587048,-1.24411002129983E-05,-5.35103586050182E-06,-4.54127246314524E-06,4.87343262965557E-06
2013-01-01 12:00:00,9.21505208181341E-07,1.34915579300267E-06,8.29778992458313E-07,10.35818640185,-25.2193861266389,-68.1827660453804,2.54848985276041,23.2959848836154,68.1669567458949,-31.748783185579,20.7813199907171,-9.67840270673471E-06,-5.33428273699076E-06,-4.53956448962287E-06,4.866216770665E-06
