,CCGT,CHP,H2 turbine,Imports_Exports,battery storage,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,5.17240651688585E-07,1.81409443441788E-06,7.64380766152381E-07,-3.48700061241842,-6.84465271336074,-35.0824348670676,43.1215158108452,46.2546912738535,-43.9621061384626,0,0,-5.36655717769463E-06,-7.96640566502659E-06,5.40981433288844E-06
2013-01-01 01:00:00,5.17359913715853E-07,1.81637509296612E-06,7.64833224809905E-07,-3.46000189730282,-3.95329350792852,-34.5546605994002,40.1092675559812,45.8208076584424,-43.9621064183109,0,0,-5.37271368102665E-06,-7.96681872989895E-06,5.37005472762854E-06
2013-01-01 02:00:00,5.17429560592373E-07,1.81715406617219E-06,7.65094212033077E-07,-3.42904776138705,-4.59836735422217,-34.2485955608022,41.5571704650842,44.6809595601727,-43.9621065485345,0,0,-5.36315442832347E-06,-7.97822804784193E-06,5.35866141909356E-06
2013-01-01 03:00:00,5.17444336798516E-07,1.8171501602584E-06,7.65130226586534E-07,-3.43179104999674,-0.83176553516798,-34.5721037419914,41.988544585196,40.8092356985872,-43.9621072197273,0,0,-5.33088650718128E-06,-7.98892014285272E-06,5.39949226536978E-06
2013-01-01 04:00:00,5.19700475951059E-07,1.97066674183839E-06,7.80126776351174E-07,-3.27045308407111,0.000629280476760729,-26.5114519358059,35.9659864403043,31.7384411795879,-37.9231410051232,0,0,-4.89108784472592E-06,-7.26178348326679E-06,5.09676093815687E-06
2013-01-01 05:00:00,5.19790017455723E-07,1.971676711865E-06,7.80205151435626E-07,-3.20852482249115,0.000268252228744983,-28.1477685518193,37.3866596237966,24.8607785101976,-30.8914025003707,0,0,-4.81151416113335E-06,-7.02438032888663E-06,5.14393341081235E-06
2013-01-01 06:00:00,5.19775416816224E-07,1.97114735625794E-06,7.79603572011588E-07,-3.0606242901724,0.000185913998414603,-28.559675491184,41.203832653264,18.9371815044263,-28.5208879353365,0,0,-4.7293889078901E-06,-7.08956963676671E-06,5.1643459003335E-06
2013-01-01 07:00:00,5.19855667967484E-07,1.97212055339256E-06,7.79337433938204E-07,-2.97006358042946,0.00014087367883782,-28.9147746414565,45.4458202387766,16.8541524894933,-30.4152627966622,0,0,-4.68850799938991E-06,-7.38533071770892E-06,5.19010667272621E-06
2013-01-01 08:00:00,5.20096540309706E-07,1.97451262657955E-06,7.79261380984499E-07,-2.9431046609245,0.000110905905527753,-28.9854265946711,47.1930369742862,16.5821487308701,-31.8467545875284,0,0,-4.67869099423979E-06,-7.462367178825E-06,5.20292215641567E-06
2013-01-01 09:00:00,5.2226672193123E-07,2.00158543746365E-06,7.85536169912272E-07,-2.92564386391938,9.80575106594598E-05,-25.800487645215,47.2171590240171,17.3012689479439,-37.1482581375238,1.35588315375613,-8.88217546354687E-06,-4.67682021860583E-06,-7.41273597280076E-06,5.19983658436508E-06
2013-01-01 10:00:00,5.22425332469469E-07,2.00391165781543E-06,7.85610132617789E-07,-2.78709435060729,7.85208238651564E-05,-25.9778535398992,48.4103025951125,14.9491801205757,-35.9430663093599,1.34847239151638,-8.85126950153331E-06,-4.62011583874755E-06,-7.39987537540418E-06,5.19782853708459E-06
2013-01-01 11:00:00,5.22537970734184E-07,2.0141797725428E-06,7.87468727471194E-07,-2.9042852641414,6.84619847796298E-05,-24.3807032335898,48.7790969738813,14.9159052939526,-38.4420508589166,2.0319883426129,-9.1460943431233E-06,-4.61787684326964E-06,-7.41219350078939E-06,5.19233510972178E-06
2013-01-01 12:00:00,5.22129192438123E-07,2.00107422590764E-06,7.8724294666454E-07,-3.07449093040247,4.27433257489279E-06,-23.4714886032619,49.1417023079567,18.7062149036738,-43.9619243972513,2.66000493658378,-1.16140398070048E-05,-4.73743891143386E-06,-7.49254356016988E-06,5.22487084197137E-06
2013-01-01 13:00:00,5.22275760758081E-07,1.99876565680835E-06,7.86970474735114E-07,-3.07381715682867,6.15071035211323E-06,-26.6909468500341,49.1815755379545,21.8971357906738,-43.9619169878543,2.64798906229891,-1.45889849792262E-05,-4.76998439307863E-06,-7.49141236944792E-06,5.21630178947008E-06
2013-01-01 14:00:00,5.22550903971722E-07,2.0096180880031E-06,7.87112685207547E-07,-3.03311422586533,5.38089882101234E-05,-25.5763192130518,49.1947188015506,21.6618108731643,-43.8195540889189,1.57242558478308,-9.00950166706668E-06,-4.72957022066112E-06,-7.43246118751729E-06,5.17277229550988E-06
2013-01-01 15:00:00,5.20271133165784E-07,1.97866965540259E-06,7.80313716254254E-07,-14.3762244058851,1.07360337597356E-05,-30.1693700862159,49.2012564819663,22.0565090633646,-26.7121689779259,0,0,-4.7689612654267E-06,-7.49303519647592E-06,5.18616282830253E-06
2013-01-01 16:00:00,5.2016397879054E-07,1.97596484539875E-06,7.80438431385436E-07,-19.0895726331156,-1.65396628006576E-07,-31.9872750132826,49.2082787367088,23.3727584874409,-21.5041765759154,0,0,-4.79023127286382E-06,-7.50112996361853E-06,5.19707326910586E-06
2013-01-01 17:00:00,5.20232683236551E-07,1.97556369877232E-06,7.8103409526034E-07,-19.2117044020455,-8.50824251272164E-06,-32.4619999628117,49.2153651227376,26.0482254714498,-23.5898667254938,0,0,-4.82638187952489E-06,-7.50451996121717E-06,5.21122221713279E-06
2013-01-01 18:00:00,5.20279980857546E-07,1.97588790970647E-06,7.81657896482687E-07,-19.4037601719301,-1.74202752342481E-05,-32.1043743989714,49.2144992601913,27.4885984690646,-25.1949347749235,0,0,-4.84567674357095E-06,-7.50729685066027E-06,5.21975762160471E-06
2013-01-01 19:00:00,5.20241249842614E-07,1.97650941832279E-06,7.82154027231058E-07,-19.1693975582609,-2.63088998048002E-05,-31.0010615650715,49.2183742418325,27.7407605090205,-26.7886383376361,0,0,-4.85067749548307E-06,-7.5112519432246E-06,5.21279273468705E-06
2013-01-01 20:00:00,5.20178041783951E-07,1.97763078165898E-06,7.82589982293368E-07,-19.274230270374,-3.48251154411585E-05,-29.2098686465484,49.2190209267819,29.9674243265776,-30.7023004768168,0,0,-4.87873439317355E-06,-7.51352517499273E-06,5.19110672686832E-06
2013-01-01 21:00:00,5.20158323744801E-07,1.97971239319263E-06,7.83074224593233E-07,-19.5787329526447,-3.6812130707518E-05,-27.3285110105247,49.2194842453553,32.4001626189868,-34.712355006041,0,0,-4.90392889616942E-06,-7.50907326612264E-06,5.1587419128154E-06
2013-01-01 22:00:00,5.20110367257662E-07,1.97945351696382E-06,7.83336576409635E-07,-14.9209242576927,-4.67539219431219E-05,-25.4054454233446,49.2196149216616,35.0661724667997,-43.9593598020619,0,0,-4.93656813137022E-06,-7.51075843737339E-06,5.130480189093E-06
2013-01-01 23:00:00,5.20025639836912E-07,1.97602677115663E-06,7.83339839565785E-07,-14.0373113322146,-8.37710937495145E-05,-24.042742075455,49.2191685154142,32.8223278848966,-43.9613480246253,0,0,-4.92059888722451E-06,-7.52721124945053E-06,5.10943901585855E-06
2013-01-02 00:00:00,5.20073925046285E-07,1.98280261185847E-06,7.84189109941988E-07,-15.9521877043521,-8.07682933739081E-05,-23.6637759181647,49.214238958355,27.8365552809243,-37.4347387123287,0,0,-4.85597521253567E-06,-7.51892981299611E-06,5.0663610490002E-06
2013-01-02 01:00:00,5.20060465224439E-07,1.98166185165299E-06,7.84302443172489E-07,-9.28841121786926,-0.000111609900440016,-23.4010600702837,49.2052148883892,27.444479168067,-43.960099975726,0,0,-4.85611300757682E-06,-7.52527827420967E-06,5.03619641888726E-06
2013-01-02 02:00:00,5.20126452277911E-07,1.98469904279903E-06,7.84717468391552E-07,-15.3006325054132,-0.000122319931732607,-23.6800090705461,49.1864406374224,25.7777045705089,-35.9833701621531,0,0,-4.83183608457694E-06,-7.51843871737114E-06,5.02376919584877E-06
2013-01-02 03:00:00,5.2014645804118E-07,1.98496811810917E-06,7.8475839214426E-07,-19.1187232155792,-0.00015179666297013,-25.0459117827363,49.1088973189134,22.2610027432773,-27.205102205987,0,0,-4.78508969149516E-06,-7.51084022079661E-06,5.05427728459013E-06
