,CCGT,CHP,H2 turbine,Imports_Exports,battery storage,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-01 00:00:00,4.90794145356161E-07,2.03440158659464E-06,7.85655491464407E-07,3.93769068912618,-0.00554618928775484,-18.1460217003458,0.0717151148638268,7.08399998341078,7.13762638620562,-0.0674720255980825,0,0,-4.65783653803316E-06,-4.52990797282382E-06,4.89465311299771E-06
2013-01-01 01:00:00,4.90876130109771E-07,2.03598221984937E-06,7.85843540911113E-07,4.0755512054899,-0.00630638002527707,-18.1460445762378,0.0717128603209985,7.08399998341079,7.00055224588444,-0.0674730442148068,0,0,-4.65054192623368E-06,-4.53372437425514E-06,4.85186620180706E-06
2013-01-01 02:00:00,4.90934696724402E-07,2.03680741188662E-06,7.86043191236852E-07,4.32768577861134,-0.00733416787654025,-18.1460568092322,0.0717106351467934,7.08399998341078,6.74945999287595,-0.0674731262923769,0,0,-4.63201951969254E-06,-4.53615488072501E-06,4.83995304103579E-06
2013-01-01 03:00:00,4.90945222986252E-07,2.03663620314029E-06,7.85944611775779E-07,4.65378765573573,-0.00870433889828193,-18.1460848117344,0.0717074725341517,7.07856361934417,6.43019783826922,-0.0674751991367307,0,0,-4.61256797482394E-06,-4.54314633270769E-06,4.8789529536203E-06
2013-01-01 04:00:00,4.91272724898742E-07,2.05197239135369E-06,7.8846264111743E-07,4.38097107906759,-0.00018358985027474,-17.3643649054179,0.0717172125072322,6.83407074992715,6.1572351589449,-0.0674537845572275,0,0,-4.56262482657779E-06,-4.48872640708942E-06,4.94164654341667E-06
2013-01-01 05:00:00,4.9303813136563E-07,2.16836547252529E-06,7.97305452768697E-07,2.99392498335876,1.33869793925333,-16.5200995513653,0.0717357761293935,6.45068242207918,5.74443810314357,-0.0673885680084235,0,0,-4.34509661557972E-06,-4.27646463072051E-06,4.79541978170889E-06
2013-01-01 06:00:00,4.92974347059172E-07,1.85418571439767E-06,7.3068854439701E-07,1.75476393130925,2.92331922413963,-16.5313189889368,0.071734808438336,6.7315037316578,5.2785614646419,-0.216573988816047,0,0,-4.31102890706071E-06,-4.30756231025953E-06,4.81761920468517E-06
2013-01-01 07:00:00,4.92991222422016E-07,1.84426534193135E-06,7.28328912173966E-07,4.58917896411957,0.00549646638018251,-16.5542149215456,0.0717340198052414,7.0644270764009,4.94800700130056,-0.112638458567896,0,0,-4.27695812765494E-06,-4.34490554073363E-06,4.85038588887168E-06
2013-01-01 08:00:00,4.94025066363664E-07,2.18127296274234E-06,7.98162173789857E-07,-0.687768304300707,4.09765521491708,-15.5200677465258,0.071733665493847,7.07948522268362,4.78980489540556,-0.0673883525130253,0.248542463331144,-6.07428147493362E-06,-4.24141760184187E-06,-4.33252047616861E-06,4.85725870927425E-06
2013-01-01 09:00:00,4.94301991399633E-07,2.09277110572627E-06,7.9563827082482E-07,4.51459570642193,-0.000135176472332003,-17.1194465271344,0.0717062130217748,7.08288794233319,4.49186659960725,-0.0674516629964611,1.03797635255249,-7.96671043912333E-06,-4.32710574767027E-06,-4.45276187360832E-06,5.0291437461803E-06
2013-01-01 10:00:00,4.93938676987796E-07,2.08463788440149E-06,7.94061209374139E-07,5.35112014482985,-0.507335079512724,-17.0670884711271,0.0716651482342919,7.07186107999787,3.78749039097321,-0.0674764218219942,1.37176311605468,-8.34447686322358E-06,-4.27803912691356E-06,-4.49856042632746E-06,5.08581184035341E-06
