00:00 - 01:00,54,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,14,,n/e,n/e,0,,19,,n/e,n/e,247,
01:00 - 02:00,54,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,35,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,14,,n/e,n/e,0,,19,,n/e,n/e,263,
02:00 - 03:00,54,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,201,24,,n/e,n/e,n/e,n/e,n/e,n/e,14,,n/e,n/e,0,,19,,n/e,n/e,251,
03:00 - 04:00,54,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,223,24,,n/e,n/e,n/e,n/e,n/e,n/e,14,,n/e,n/e,0,,19,,n/e,n/e,265,
04:00 - 05:00,55,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,216,24,,n/e,n/e,n/e,n/e,n/e,n/e,14,,n/e,n/e,0,,19,,n/e,n/e,268,
05:00 - 06:00,55,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,19,,n/e,n/e,317,
06:00 - 07:00,55,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,110,133,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,1,,18,,n/e,n/e,344,
07:00 - 08:00,55,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,115,141,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,3,,18,,n/e,n/e,343,
08:00 - 09:00,55,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,45,54,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,5,,18,,n/e,n/e,334,
09:00 - 10:00,55,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,5,,18,,n/e,n/e,288,
10:00 - 11:00,55,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,4,,18,,n/e,n/e,283,
11:00 - 12:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,162,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,3,,18,,n/e,n/e,231,
12:00 - 13:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,192,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,1,,18,,n/e,n/e,190,
13:00 - 14:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,192,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,184,
14:00 - 15:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,238,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,126,
15:00 - 16:00,57,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,423,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,94,
16:00 - 17:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,402,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,73,
17:00 - 18:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,382,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,45,
18:00 - 19:00,57,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,408,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,20,
19:00 - 20:00,57,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,305,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,9,
20:00 - 21:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,332,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,6,
21:00 - 22:00,56,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,147,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,10,
22:00 - 23:00,57,,n/e,n/e,n/e,n/e,37,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,51,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,17,
23:00 - 00:00,57,,n/e,n/e,n/e,n/e,36,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,0,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,19,,n/e,n/e,35,
00:00 - 01:00,57,,n/e,n/e,n/e,n/e,36,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,224,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,19,,n/e,n/e,54,
01:00 - 02:00,57,,n/e,n/e,n/e,n/e,36,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,440,24,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,19,,n/e,n/e,97,
