avail_qty,nominal_power,production_resource_name,start,end
0.0,768.0,ECHV_______,2022-01-01 00:00:00+00:00,2022-01-03 23:15:00+00:00
0.0,192.0,ECHV_______,2022-01-04 14:00:00+00:00,2022-01-04 21:30:00+00:00
0.0,384.0,ECHV_______,2022-01-08 14:00:00+00:00,2022-01-08 14:15:00+00:00
0.0,192.0,ECHV_______,2022-01-07 22:15:00+00:00,2022-01-08 14:00:00+00:00
0.0,384.0,ECHV_______,2022-01-08 23:30:00+00:00,2022-01-09 05:00:00+00:00
0.0,192.0,ECHV_______,2022-01-08 23:00:00+00:00,2022-01-08 23:30:00+00:00
0.0,192.0,ECHV_______,2022-01-09 05:00:00+00:00,2022-01-09 08:00:00+00:00
169.9,192.0,ECHV_______,2022-01-14 12:00:00+00:00,2022-01-14 17:30:00+00:00
0.0,384.0,ECHV_______,2022-01-15 23:15:00+00:00,2022-01-17 17:15:00+00:00
0.0,192.0,ECHV_______,2022-01-15 23:00:00+00:00,2022-01-15 23:15:00+00:00
0.0,192.0,ECHV_______,2022-01-17 17:15:00+00:00,2022-01-17 19:00:00+00:00
0.0,192.0,ECHV_______,2022-01-21 23:00:00+00:00,2022-01-24 17:00:00+00:00
0.0,576.0,ECHV_______,2022-01-28 23:00:00+00:00,2022-01-30 17:45:00+00:00
0.0,192.0,ECHV_______,2022-01-30 19:00:00+00:00,2022-01-30 20:15:00+00:00
0.0,192.0,ECHV_______,2022-01-31 17:30:00+00:00,2022-01-31 21:15:00+00:00
871.3000000000001,7296.0,ECHV_______,2022-02-04 23:00:00+00:00,2022-03-26 09:45:00+00:00
0.0,192.0,ECHV_______,2022-02-04 01:00:00+00:00,2022-02-04 23:00:00+00:00
0.0,192.0,ECHV_______,2022-03-27 12:45:00+00:00,2022-03-27 14:00:00+00:00
0.0,192.0,ECHV_______,2022-04-01 22:15:00+00:00,2022-04-03 01:00:00+00:00
0.0,192.0,ECHV_______,2022-04-03 01:00:00+00:00,2022-04-03 02:15:00+00:00
0.0,384.0,ECHV_______,2022-04-06 22:30:00+00:00,2022-04-07 03:00:00+00:00
0.0,192.0,ECHV_______,2022-04-06 22:15:00+00:00,2022-04-06 22:30:00+00:00
0.0,192.0,ECHV_______,2022-04-07 03:00:00+00:00,2022-04-07 06:00:00+00:00
0.0,192.0,ECHV_______,2022-04-07 06:00:00+00:00,2022-04-07 16:00:00+00:00
0.0,192.0,ECHV_______,2022-04-07 16:00:00+00:00,2022-04-08 12:15:00+00:00
0.0,192.0,ECHV_______,2022-04-08 12:15:00+00:00,2022-04-08 13:00:00+00:00
0.0,576.0,ECHV_______,2022-04-08 22:15:00+00:00,2022-04-09 13:00:00+00:00
0.0,192.0,ECHV_______,2022-04-08 22:00:00+00:00,2022-04-08 22:15:00+00:00
0.0,576.0,ECHV_______,2022-04-10 21:45:00+00:00,2022-04-11 04:30:00+00:00
0.0,192.0,ECHV_______,2022-04-10 00:30:00+00:00,2022-04-10 21:45:00+00:00
0.0,192.0,ECHV_______,2022-04-11 05:30:00+00:00,2022-04-11 06:45:00+00:00
0.0,192.0,ECHV_______,2022-04-11 08:30:00+00:00,2022-04-11 12:15:00+00:00
84.9,192.0,ECHV_______,2022-04-11 13:00:00+00:00,2022-04-12 07:45:00+00:00
134.9,192.0,ECHV_______,2022-04-13 03:30:00+00:00,2022-04-13 04:45:00+00:00
0.0,192.0,ECHV_______,2022-04-13 06:15:00+00:00,2022-04-14 06:00:00+00:00
0.0,384.0,ECHV_______,2022-04-17 07:00:00+00:00,2022-04-18 11:30:00+00:00
0.0,192.0,ECHV_______,2022-04-14 22:15:00+00:00,2022-04-17 07:00:00+00:00
0.0,192.0,ECHV_______,2022-04-18 11:30:00+00:00,2022-04-18 17:30:00+00:00
0.0,576.0,ECHV_______,2022-04-22 22:15:00+00:00,2022-04-23 01:00:00+00:00
0.0,192.0,ECHV_______,2022-04-22 21:30:00+00:00,2022-04-22 22:15:00+00:00
0.0,192.0,ECHV_______,2022-04-24 13:30:00+00:00,2022-04-24 16:00:00+00:00
304.8,768.0,ECHV_______,2022-04-28 01:15:00+00:00,2022-05-08 07:00:00+00:00
0.0,192.0,ECHV_______,2022-04-27 22:30:00+00:00,2022-04-28 01:15:00+00:00
0.0,192.0,ECHV_______,2022-05-08 07:00:00+00:00,2022-05-08 15:30:00+00:00
144.9,192.0,ECHV_______,2022-05-08 21:15:00+00:00,2022-05-08 22:00:00+00:00
84.9,192.0,ECHV_______,2022-05-09 07:00:00+00:00,2022-05-09 09:15:00+00:00
84.9,192.0,ECHV_______,2022-05-09 22:30:00+00:00,2022-05-10 01:30:00+00:00
164.9,192.0,ECHV_______,2022-05-10 08:00:00+00:00,2022-05-10 10:00:00+00:00
134.9,192.0,ECHV_______,2022-05-10 20:00:00+00:00,2022-05-10 22:00:00+00:00
134.9,192.0,ECHV_______,2022-05-10 23:00:00+00:00,2022-05-11 03:00:00+00:00
84.9,192.0,ECHV_______,2022-05-11 03:00:00+00:00,2022-05-11 04:45:00+00:00
134.9,192.0,ECHV_______,2022-05-11 09:00:00+00:00,2022-05-11 10:30:00+00:00
2306.5,6336.0,ECHV_______,2022-05-12 09:30:00+00:00,2022-06-03 22:00:00+00:00
0.0,192.0,ECHV_______,2022-05-11 22:00:00+00:00,2022-05-12 09:30:00+00:00
0.0,192.0,ECHV_______,2022-06-03 23:15:00+00:00,2022-06-03 23:30:00+00:00
0.0,192.0,ECHV_______,2022-06-04 11:00:00+00:00,2022-06-04 15:15:00+00:00
0.0,192.0,ECHV_______,2022-06-04 18:15:00+00:00,2022-06-04 19:45:00+00:00
0.0,192.0,ECHV_______,2022-06-05 09:45:00+00:00,2022-06-05 13:00:00+00:00
179.9,384.0,ECHV_______,2022-06-05 17:00:00+00:00,2022-06-05 22:00:00+00:00
179.9,192.0,ECHV_______,2022-06-05 15:00:00+00:00,2022-06-05 17:00:00+00:00
0.0,192.0,ECHV_______,2022-06-06 18:00:00+00:00,2022-06-07 15:45:00+00:00
279.8,384.0,ECHV_______,2022-06-08 23:00:00+00:00,2022-06-08 23:15:00+00:00
154.9,192.0,ECHV_______,2022-06-08 22:15:00+00:00,2022-06-08 23:00:00+00:00
144.9,192.0,ECHV_______,2022-06-12 02:00:00+00:00,2022-06-12 04:00:00+00:00
0.0,192.0,ECHV_______,2022-06-12 06:15:00+00:00,2022-06-12 15:00:00+00:00
0.0,384.0,ECHV_______,2022-06-19 13:00:00+00:00,2022-06-19 13:15:00+00:00
0.0,192.0,ECHV_______,2022-06-17 22:15:00+00:00,2022-06-19 13:00:00+00:00
164.9,192.0,ECHV_______,2022-06-20 06:30:00+00:00,2022-06-20 19:00:00+00:00
0.0,384.0,ECHV_______,2022-07-16 06:00:00+00:00,2022-07-16 14:45:00+00:00
0.0,192.0,ECHV_______,2022-07-16 03:15:00+00:00,2022-07-16 06:00:00+00:00
0.0,192.0,ECHV_______,2022-07-16 14:45:00+00:00,2022-07-16 16:00:00+00:00
209.8,384.0,ECHV_______,2022-07-16 22:00:00+00:00,2022-07-17 03:00:00+00:00
179.9,192.0,ECHV_______,2022-07-18 05:45:00+00:00,2022-07-18 14:45:00+00:00
149.9,192.0,ECHV_______,2022-07-21 14:15:00+00:00,2022-07-21 16:30:00+00:00
359.8,384.0,ECHV_______,2022-07-24 19:30:00+00:00,2022-07-24 22:00:00+00:00
179.9,192.0,ECHV_______,2022-07-24 19:15:00+00:00,2022-07-24 19:30:00+00:00
84.9,192.0,ECHV_______,2022-07-25 05:30:00+00:00,2022-07-25 07:00:00+00:00
0.0,192.0,ECHV_______,2022-07-26 06:45:00+00:00,2022-07-26 08:00:00+00:00
329.8,384.0,ECHV_______,2022-07-27 18:15:00+00:00,2022-07-28 02:45:00+00:00
154.9,192.0,ECHV_______,2022-07-27 16:15:00+00:00,2022-07-27 18:15:00+00:00
154.9,192.0,ECHV_______,2022-07-28 02:45:00+00:00,2022-07-28 06:45:00+00:00
124.9,192.0,ECHV_______,2022-07-28 07:15:00+00:00,2022-07-29 04:30:00+00:00
394.70000000000005,768.0,ECHV_______,2022-07-29 17:45:00+00:00,2022-07-29 22:30:00+00:00
114.9,192.0,ECHV_______,2022-07-29 04:30:00+00:00,2022-07-29 17:45:00+00:00
414.70000000000005,960.0,ECHV_______,2022-08-01 02:30:00+00:00,2022-08-02 10:15:00+00:00
0.0,192.0,ECHV_______,2022-07-31 07:00:00+00:00,2022-08-01 02:30:00+00:00
314.8,384.0,ECHV_______,2022-08-02 17:00:00+00:00,2022-08-02 22:00:00+00:00
134.9,192.0,ECHV_______,2022-08-02 16:30:00+00:00,2022-08-02 17:00:00+00:00
134.9,192.0,ECHV_______,2022-08-02 22:00:00+00:00,2022-08-03 11:15:00+00:00
179.9,192.0,ECHV_______,2022-08-03 23:00:00+00:00,2022-08-04 11:00:00+00:00
174.9,192.0,ECHV_______,2022-08-04 22:00:00+00:00,2022-08-05 00:00:00+00:00
174.9,192.0,ECHV_______,2022-08-05 13:00:00+00:00,2022-08-05 22:00:00+00:00
0.0,384.0,ECHV_______,2022-08-05 22:45:00+00:00,2022-08-07 21:00:00+00:00
0.0,192.0,ECHV_______,2022-08-05 22:30:00+00:00,2022-08-05 22:45:00+00:00
164.9,192.0,ECHV_______,2022-08-07 23:00:00+00:00,2022-08-08 06:15:00+00:00
339.8,384.0,ECHV_______,2022-08-09 05:45:00+00:00,2022-08-09 06:00:00+00:00
174.9,192.0,ECHV_______,2022-08-09 05:30:00+00:00,2022-08-09 05:45:00+00:00
174.9,192.0,ECHV_______,2022-08-09 08:15:00+00:00,2022-08-09 09:45:00+00:00
179.9,192.0,ECHV_______,2022-08-09 12:00:00+00:00,2022-08-09 13:00:00+00:00
164.9,192.0,ECHV_______,2022-08-09 13:00:00+00:00,2022-08-09 15:00:00+00:00
349.8,384.0,ECHV_______,2022-08-09 22:30:00+00:00,2022-08-10 04:15:00+00:00
174.9,192.0,ECHV_______,2022-08-09 19:45:00+00:00,2022-08-09 22:30:00+00:00
369.8,384.0,ECHV_______,2022-08-10 09:45:00+00:00,2022-08-11 13:15:00+00:00
184.9,192.0,ECHV_______,2022-08-10 09:30:00+00:00,2022-08-10 09:45:00+00:00
174.9,192.0,ECHV_______,2022-08-11 14:00:00+00:00,2022-08-12 16:00:00+00:00
184.9,192.0,ECHV_______,2022-08-12 16:00:00+00:00,2022-08-12 18:00:00+00:00
174.9,192.0,ECHV_______,2022-08-12 18:00:00+00:00,2022-08-12 22:00:00+00:00
0.0,384.0,ECHV_______,2022-08-12 22:30:00+00:00,2022-08-14 14:30:00+00:00
0.0,192.0,ECHV_______,2022-08-12 22:15:00+00:00,2022-08-12 22:30:00+00:00
0.0,192.0,ECHV_______,2022-08-14 14:30:00+00:00,2022-08-14 20:30:00+00:00
134.9,192.0,ECHV_______,2022-08-14 23:00:00+00:00,2022-08-15 00:45:00+00:00
174.9,192.0,ECHV_______,2022-08-15 13:15:00+00:00,2022-08-15 21:00:00+00:00
174.9,192.0,ECHV_______,2022-08-15 21:30:00+00:00,2022-08-16 05:00:00+00:00
184.9,192.0,ECHV_______,2022-08-16 05:00:00+00:00,2022-08-17 00:30:00+00:00
149.9,192.0,ECHV_______,2022-08-17 08:00:00+00:00,2022-08-17 08:45:00+00:00
104.9,192.0,ECHV_______,2022-08-17 11:15:00+00:00,2022-08-17 13:00:00+00:00
174.9,192.0,ECHV_______,2022-08-18 15:00:00+00:00,2022-08-19 03:00:00+00:00
184.9,192.0,ECHV_______,2022-08-19 15:00:00+00:00,2022-08-19 22:15:00+00:00
184.9,192.0,ECHV_______,2022-08-20 20:15:00+00:00,2022-08-22 02:45:00+00:00
174.9,192.0,ECHV_______,2022-08-22 07:45:00+00:00,2022-08-22 16:00:00+00:00
144.9,192.0,ECHV_______,2022-08-23 19:00:00+00:00,2022-08-24 02:00:00+00:00
154.9,192.0,ECHV_______,2022-08-24 02:00:00+00:00,2022-08-24 15:00:00+00:00
0.0,384.0,ECHV_______,2022-08-27 22:30:00+00:00,2022-08-28 11:45:00+00:00
0.0,192.0,ECHV_______,2022-08-26 22:30:00+00:00,2022-08-27 22:30:00+00:00
0.0,192.0,ECHV_______,2022-08-28 11:45:00+00:00,2022-08-28 19:00:00+00:00
0.0,192.0,ECHV_______,2022-08-30 13:00:00+00:00,2022-08-31 02:45:00+00:00
104.9,192.0,ECHV_______,2022-09-02 09:00:00+00:00,2022-09-02 11:15:00+00:00
0.0,192.0,ECHV_______,2022-09-03 03:45:00+00:00,2022-09-03 05:30:00+00:00
0.0,192.0,ECHV_______,2022-09-03 22:00:00+00:00,2022-09-04 22:00:00+00:00
0.0,192.0,ECHV_______,2022-09-06 21:00:00+00:00,2022-09-06 22:15:00+00:00
174.9,192.0,ECHV_______,2022-09-13 16:00:00+00:00,2022-09-13 19:30:00+00:00
154.9,192.0,ECHV_______,2022-09-16 18:30:00+00:00,2022-09-16 19:45:00+00:00
0.0,960.0,ECHV_______,2022-09-16 22:30:00+00:00,2022-09-18 22:00:00+00:00
0.0,192.0,ECHV_______,2022-09-16 22:00:00+00:00,2022-09-16 22:30:00+00:00
149.9,192.0,ECHV_______,2022-09-19 21:30:00+00:00,2022-09-19 23:30:00+00:00
366.8,384.0,ECHV_______,2022-09-20 13:45:00+00:00,2022-09-21 07:15:00+00:00
174.9,192.0,ECHV_______,2022-09-21 20:45:00+00:00,2022-09-22 01:00:00+00:00
154.9,384.0,ECHV_______,2022-09-25 07:45:00+00:00,2022-09-25 09:15:00+00:00
0.0,192.0,ECHV_______,2022-09-23 22:15:00+00:00,2022-09-25 07:45:00+00:00
0.0,192.0,ECHV_______,2022-09-25 09:15:00+00:00,2022-09-25 17:15:00+00:00
164.9,192.0,ECHV_______,2022-09-26 07:00:00+00:00,2022-09-26 13:30:00+00:00
0.0,384.0,ECHV_______,2022-10-01 22:30:00+00:00,2022-10-02 13:00:00+00:00
0.0,192.0,ECHV_______,2022-10-01 22:00:00+00:00,2022-10-01 22:30:00+00:00
0.0,192.0,ECHV_______,2022-10-02 13:00:00+00:00,2022-10-02 15:00:00+00:00
84.9,768.0,ECHV_______,2022-10-07 22:15:00+00:00,2022-10-09 19:30:00+00:00
