"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Biomass","48WSTN0000DRAXXK","DRAXX","3885","3885","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN00000LOAND","LOAN","2400","2400","GB","275","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000PEMBL","PEMB","2305","2305","GB","400","26.11.2010",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN0000EGGPS5","EGGPS","2100","2100","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN00000RATS9","RATS","2020","2020","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","48WSTN10000DINOQ","DINO","2016","2016","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN0000WBUPSE","WBUPS","2012","2012","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN1000COTPSQ","COTPS","2008","2008","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","48WSTN00000STVEO","STVE","1998","1998","GB","0","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN00000FIDLP","FIDL","1961","1961","GB","275","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN00000FERRO","FERR","1960","1960","GB","275","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000PEHEU","PEHE","1840","1840","GB","275","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000STAYA","STAY","1828","1828","GB","400","26.03.2009",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN0000ABTHBN","ABTHB","1590","1590","GB","275","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN0000CNQPSG","CNQPS","1500","1500","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN0000DIDCBC","DIDCB","1490","1490","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN00000HINB5","HINB","1400","1400","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN00000TORNX","TORN","1370","1370","GB","400","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Oil","48WSTN000LITT-DA","LITT-D","1370","1370","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN0000GRAINU","GRAIN","1365","1365","GB","400","27.07.2009",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN0000WBURB5","WBURB","1360","1360","GB","400","28.05.2010",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Oil","48WSTN10000GRAIQ","GRAI","1350","1350","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN0000HEYM2N","HEYM2","1344","1344","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN00000WYLFC","WYLF","1340","1340","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN0000HEYM1P","HEYM1","1332","1332","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN00000HRTL5","HRTL","1332","1332","GB","275","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN00000DNGBQ","DNGB","1320","1320","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN00000SIZBP","SIZB","1320","1320","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Nuclear","48WSTN00000HUNBV","HUNB","1320","1320","GB","400","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000SEAB5","SEAB","1258","1258","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000HUMR2","HUMR","1240","1240","GB","400","29.04.2003",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Offshore","48WSTN0000HOWAOA","HOWAO","1218","1218","GB","400","01.01.2019",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Offshore","48WSTN0000MOWEO5","MOWEO","1200","1200","GB","275","17.03.2021",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000SCCLO","SCCL","1200","1200","GB","275","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN000KILLPG5","KILLPG","1000","1000","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Other","48WSTN0000IRNPS9","IRNPS","1000","1000","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN0000BARKBL","BARKB","1000","1000","GB","275","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","48WSTN00000GAURQ","GAUR","999","999","GB","132","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","48WSTN00000SROM0","SROM","999","999","GB","132","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","48WSTN00000LOCGL","LOCG","999","999","GB","132","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","48WSTN00000LAIGM","LAIG","999","999","GB","132","29.03.2005",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","48WSTN0000RUGPS5","RUGPS","976","976","GB","400","01.01.2000",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000MRWDO","MRWD","920","920","GB","400","29.08.2008",""
"CTA|GB / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","48WSTN00000CARRI","CARR","910","910","GB","400","01.01.2016",""
