00:00 - 01:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,19,22,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,369,
01:00 - 02:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,19,22,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,369,
02:00 - 03:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,19,22,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,373,
03:00 - 04:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,19,22,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,377,
04:00 - 05:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,19,22,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,364,
05:00 - 06:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,13,,n/e,n/e,n/e,n/e,n/e,n/e,0,19,22,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,361,
06:00 - 07:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,13,,n/e,n/e,n/e,n/e,n/e,n/e,0,100,22,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,368,
07:00 - 08:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,115,49,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,372,
08:00 - 09:00,16,,n/e,n/e,n/e,n/e,39,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,71,48,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,372,
09:00 - 10:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,88,48,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,1,,18,,n/e,n/e,356,
10:00 - 11:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,102,48,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,1,,18,,n/e,n/e,362,
11:00 - 12:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,55,97,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,5,,18,,n/e,n/e,365,
12:00 - 13:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,97,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,5,,18,,n/e,n/e,356,
13:00 - 14:00,15,,n/e,n/e,n/e,n/e,39,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,94,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,5,,18,,n/e,n/e,371,
14:00 - 15:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,56,97,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,4,,18,,n/e,n/e,385,
15:00 - 16:00,16,,n/e,n/e,n/e,n/e,41,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,38,97,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,378,
16:00 - 17:00,16,,n/e,n/e,n/e,n/e,40,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,97,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,367,
17:00 - 18:00,16,,n/e,n/e,n/e,n/e,40,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,37,97,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,350,
18:00 - 19:00,16,,n/e,n/e,n/e,n/e,40,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,38,97,,n/e,n/e,n/e,n/e,n/e,n/e,12,,n/e,n/e,0,,18,,n/e,n/e,339,
19:00 - 20:00,16,,n/e,n/e,n/e,n/e,40,,n/e,n/e,12,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,97,,n/e,n/e,n/e,n/e,n/e,n/e,13,,n/e,n/e,0,,18,,n/e,n/e,318,
20:00 - 21:00,16,,n/e,n/e,n/e,n/e,39,,n/e,n/e,11,,n/e,n/e,n/e,n/e,n/e,n/e,0,0,97,,n/e,n/e,n/e,n/e,n/e,n/e,14,,n/e,n/e,0,,17,,n/e,n/e,280,
