index,SE -> NO,SE -> LT,SE -> FI,SE -> DE,SE -> DK,SE -> PL
2020-01-01 03:00:00+0000,854.0,591.0,1046.0,608.0,1434.0,0.0
2020-01-01 04:00:00+0000,1440.0,534.0,1001.0,609.0,1220.0,0.0
2020-01-01 05:00:00+0000,1921.0,265.0,1001.0,608.0,1182.0,0.0
2020-01-01 06:00:00+0000,2202.0,325.0,1001.0,608.0,1296.0,0.0
2020-01-01 07:00:00+0000,2065.0,303.0,1001.0,608.0,1706.0,0.0
2020-01-01 08:00:00+0000,2152.0,191.0,1001.0,608.0,1622.0,0.0
2020-01-01 09:00:00+0000,1825.0,193.0,1001.0,608.0,1691.0,2.0
2020-01-01 10:00:00+0000,1596.0,240.0,1001.0,608.0,1805.0,174.0
2020-01-01 11:00:00+0000,1510.0,295.0,1001.0,607.0,1837.0,258.0
2020-01-01 12:00:00+0000,1404.0,253.0,1001.0,607.0,1829.0,367.0
2020-01-01 13:00:00+0000,1352.0,253.0,1001.0,607.0,1878.0,336.0
2020-01-01 14:00:00+0000,1096.0,268.0,1001.0,607.0,1908.0,441.0
2020-01-01 15:00:00+0000,974.0,320.0,1001.0,607.0,1795.0,598.0
2020-01-01 16:00:00+0000,978.0,311.0,1001.0,607.0,1647.0,598.0
2020-01-01 17:00:00+0000,1056.0,260.0,1002.0,607.0,1677.0,597.0
2020-01-01 18:00:00+0000,1006.0,676.0,1002.0,607.0,1795.0,598.0
2020-01-01 19:00:00+0000,1215.0,605.0,878.0,607.0,1829.0,592.0
2020-01-01 20:00:00+0000,1277.0,569.0,700.0,607.0,1958.0,418.0
2020-01-01 21:00:00+0000,1992.0,1.0,700.0,607.0,1952.0,21.0
2020-01-01 22:00:00+0000,1909.0,553.0,700.0,607.0,1866.0,0.0
2020-01-01 23:00:00+0000,2856.0,198.0,700.0,608.0,1489.0,0.0
2020-01-02 00:00:00+0000,3164.0,93.0,700.0,608.0,1497.0,0.0
2020-01-02 01:00:00+0000,2695.0,103.0,700.0,607.0,1779.0,0.0
2020-01-02 02:00:00+0000,2238.0,187.0,700.0,607.0,1864.0,0.0
2020-01-02 03:00:00+0000,2030.0,325.0,700.0,607.0,1650.0,0.0
2020-01-02 04:00:00+0000,1946.0,565.0,700.0,608.0,1328.0,5.0
2020-01-02 05:00:00+0000,2111.0,636.0,700.0,608.0,457.0,281.0
2020-01-02 06:00:00+0000,2536.0,70.0,700.0,607.0,551.0,10.0
2020-01-02 07:00:00+0000,2329.0,29.0,700.0,607.0,803.0,173.0
2020-01-02 08:00:00+0000,2327.0,150.0,700.0,607.0,633.0,556.0
2020-01-02 09:00:00+0000,2113.0,205.0,700.0,607.0,951.0,579.0
2020-01-02 10:00:00+0000,1870.0,196.0,700.0,607.0,1033.0,579.0
2020-01-02 11:00:00+0000,1712.0,224.0,700.0,606.0,1146.0,579.0
2020-01-02 12:00:00+0000,1685.0,234.0,700.0,606.0,1065.0,579.0
2020-01-02 13:00:00+0000,1837.0,289.0,700.0,607.0,800.0,579.0
