,CCGT,CHP,H2 turbine,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,4.606539831823863e-06,3.342771035129512,1.6470774876273266e-06,1.9600318742457366e-06,-54.17542769629843,-260.7155231453829,2.2936415133739776,38.86371460066675,172.03103195520566,317.14472399291986,-217.97485189472505,0.0,-0.0,-0.07197140364711103,-0.06979035661624443
2013-01-01 01:00:00,4.606134785901365e-06,3.3427715330232948,1.6474593700828844e-06,1.959942753023707e-06,-49.83292459026344,-257.7599919360357,1.8365594261609621,37.65254481148363,167.29657412803778,316.2512774673114,-217.97485192029976,0.0,-0.0,-0.07257990503765843,-0.07106273623194284
2013-01-01 02:00:00,4.605874280283955e-06,3.3427714505006296,1.6469066786237654e-06,1.9598897160528282e-06,-45.019472529861396,-257.74955181051223,0.7185406058886438,33.31112688566857,166.83509122965154,317.3579056603378,-217.97485193247766,0.0,-0.0,-0.07479143334589532,-0.07844850425874053
2013-01-01 03:00:00,4.605192202714948e-06,3.3427714395315618,1.6452467354889482e-06,1.959647252025919e-06,-43.51324734931793,-258.5215087844586,2.726266645741866,34.01350876210932,167.2860246976656,313.4081026177044,-217.9748519681927,0.0,-0.0,-0.052187273131541374,-0.04655637029530109
2013-01-01 04:00:00,4.79757062264964e-06,3.3906278870463504,1.725993246932829e-06,2.0099042537618325e-06,-32.915982052141814,-261.05302047078135,5.806247596154869,37.93020969731672,160.46374404443637,305.059914431186,-217.97484796163096,0.0,-0.0,-0.04768161280133833,-0.035248935180623504
2013-01-01 05:00:00,4.79783018918963e-06,3.3535162149632938,1.725177806295294e-06,2.009649260310052e-06,-11.226183455576907,-276.47732814062175,6.19198287599151,40.28646842678487,160.4683071013308,296.0098778032551,-217.9748479261625,0.0,-0.0,-0.0037287760130195625,-0.004101485350137545
2013-01-01 06:00:00,4.797884644899403e-06,3.353968158882414,1.7251736110687296e-06,2.0095254246408184e-06,1.6127589329832608,-284.2471090781112,6.411043340036465,40.12441197792212,164.23232344847779,287.1176579630873,-217.97484795994427,0.0,-0.0,-0.002912750390119434,-0.0033313961352272594
2013-01-01 07:00:00,4.798621010377531e-06,3.370865195745786,1.726963059060319e-06,2.00968809815169e-06,1.133052924627169,-285.41291864573293,6.306758909913929,40.00664049072421,168.81712024337628,284.385050432377,-217.97484803013725,0.0,-0.0,-0.0036905062259178843,-0.0040683835492104446
2013-01-01 08:00:00,4.79974838354271e-06,3.4020094427173206,1.7273882593684734e-06,2.0101187630784844e-06,-23.790621190789764,-281.08979790459193,6.114685518321498,37.76075833325603,171.2669303276146,284.11101679999643,-217.97484807867517,20.831625365877674,-1.4844745616607854e-05,-0.0037063461252531808,-0.0040747739325750435
2013-01-01 09:00:00,4.703744285138514e-06,3.34674834074378,1.7081923207641166e-06,1.987262069150446e-06,-49.23502341537478,-253.9829343948208,0.21491662503980388,32.17984565531974,171.02081716626125,281.4692425452361,-217.97484984369237,34.98934242172711,-0.037050025202002436,-0.9947591265651012,-0.37233566042096083
