,CCGT,CHP,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,5.545653498108895e-07,0.1851426156977392,-1.003078916608707,3.0422117648472835e-07,-4.218834650766311,-12.387346606613491,0.05900069987538128,7.084011045393875,13.125741937317343,-2.8429904891795887,0.0,-0.0,-2.9255471713440782e-06,-4.1285845351187626e-06
2013-01-01 01:00:00,5.544894125476012e-07,0.18514268560898947,-1.0030842620869826,3.0420104577840344e-07,-4.161791398772157,-12.21302465954676,0.058995868935411255,7.084010986587801,12.894386138135818,-2.842990490829195,0.0,-0.0,-2.9298926738192677e-06,-4.129691111576732e-06
2013-01-01 02:00:00,5.54428111417359e-07,0.1851427212630126,-1.0029335511311934,3.041871814731764e-07,-3.720682758136067,-12.220394794122509,0.05898690482660102,7.084010744251428,12.460505016025273,-2.8429904843066054,0.0,-0.0,-2.9362311262275397e-06,-4.130386639238169e-06
2013-01-01 03:00:00,5.543940904864063e-07,0.1851427450572949,-1.003124242188494,3.0417567988287653e-07,-2.338155889538782,-13.00831838497355,0.058955589818246765,7.083560028193038,11.866571996038905,-2.842990471265488,0.0,-0.0,-2.9456791372695077e-06,-4.135862559135739e-06
2013-01-01 04:00:00,6.048812361414491e-07,0.23299807188512942,-0.660247129133732,3.2311086252228437e-07,0.002736714242193705,-15.210171229237734,0.07174960217590905,7.045440935553586,11.3604969143812,-2.842988213350846,0.0,-0.0,-1.6442631972495292e-06,-2.413191420926123e-06
2013-01-01 05:00:00,6.04756684850786e-07,0.19588644462926935,-0.6417806299507957,3.230459574089134e-07,2.060326984995873,-16.201464555342188,0.07174227368729465,6.817449478534971,10.540843853850166,-2.8429881930254672,0.0,-0.0,-1.6533924391524125e-06,-2.440420267057821e-06
2013-01-01 06:00:00,6.047739193574452e-07,0.19633845771153008,-0.6417894588593653,3.23038560594408e-07,2.9903109808106514,-16.28362726478602,0.07173991152653056,6.897057422434593,9.61297380087883,-2.842988189303827,0.0,-0.0,-1.6688336801280458e-06,-2.4335310870216217e-06
2013-01-01 07:00:00,6.048232341460044e-07,0.21323559269576864,-0.6417905735102067,3.230324080192653e-07,3.072337285490506,-15.88261176590768,0.07173849809399535,7.0209107637819805,8.98918404770007,-2.8429881984556675,0.0,-0.0,-1.6826814991190987e-06,-2.4088801190022357e-06
2013-01-01 08:00:00,6.050743709523554e-07,0.2443800402631805,-0.6417760656203991,3.2305541342401847e-07,1.6073764312903036,-14.355408115544229,0.07173749879006923,7.066739122776541,8.689825696888688,-2.8429882198018883,0.16013456590111272,-5.304564245889181e-06,-1.6869713518872232e-06,-2.378503136671272e-06
2013-01-01 09:00:00,5.997758554683963e-07,0.18911959110013168,-2.43586309854143,3.210404874352897e-07,-0.1039602186031148,-10.881686316032766,0.07172636749094831,7.081449706933475,8.244975771044444,-2.8429885603190095,0.6772481132728865,-4.3186963013715195e-06,-1.7785389346727244e-06,-2.4952103676409095e-06
2013-01-01 10:00:00,6.030216389835369e-07,0.18997714580481573,-2.93207198177977,3.2222511620827477e-07,3.138923484593283e-05,-9.485890157839098,0.07173237690716741,7.048533830897085,7.093064698398213,-2.8429884124007585,0.8576314610206447,-4.072168947606243e-06,-1.7689131035467654e-06,-2.4576499115746863e-06
2013-01-01 11:00:00,6.000433733955648e-07,0.18627704652405158,-3.6838443240517575,3.210858180548063e-07,-2.295912462943641,-8.47000312807084,0.07172416054590508,7.0585555687909425,8.92014274896499,-2.84298864260445,1.0560703972554444,-4.3282026539743264e-06,-1.7645981862415283e-06,-2.513953324995299e-06
2013-01-01 12:00:00,5.999636899165157e-07,0.18518715224694965,-3.6795670168065913,3.2105244214656645e-07,-3.6727509584372617,-7.29063410605179,0.07172237198105726,7.0713902462180105,8.927297672632337,-2.842988671215905,1.2303642514075757,-4.209782077468233e-06,-1.7685733751022781e-06,-2.5111139294920482e-06
2013-01-01 13:00:00,5.996295629191464e-07,0.18519094488951715,-3.640763262064921,3.209555974556034e-07,-3.7709046392671826,-5.874357716541017,0.07171912471006361,7.054327311887446,7.361892234866642,-2.842988672675156,1.455905720263636,-4.246181045038881e-06,-1.8191221737993147e-06,-2.524163543037753e-06
2013-01-01 14:00:00,5.990749875632968e-07,0.18519424593375258,-2.35194942377816,3.208009245290939e-07,-0.2951576974015289,-8.350130231960994,0.07170908955647426,7.052468724322895,5.435583758945073,-2.8429886425950412,1.095291151119822,-4.101930175707041e-06,-1.9052321849244436e-06,-2.5303419644809164e-06
