,CCGT,CHP,H2 turbine,Imports_Exports,battery storage,distribution network,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,6.147285899505974e-07,0.48858117947184443,3.2188639114572727e-07,-22.50622437629054,-3.0842670365157527,-27.257321948169476,42.77835749712371,46.778851275933015,-37.04027724058433,0.0,-0.0,-0.026645631417517506,-0.03555804364074928
2013-01-01 01:00:00,6.146134381031607e-07,0.4885813937943558,3.216551589893522e-07,-22.506224404986305,-0.6531753089526924,-26.215886636034746,39.73566362855501,46.345824973800234,-37.04027724925353,0.0,-0.0,-0.025562726504870625,-0.03344954490782857
2013-01-01 02:00:00,6.145398110944298e-07,0.48858140603713307,3.215818035977111e-07,-22.506224339421642,-0.9375269398039453,-26.24999880703368,41.19702655735676,45.20121223279599,-37.04027725330505,0.0,-0.0,-0.02482932827718605,-0.0324649867855513
2013-01-01 03:00:00,6.142363240639701e-07,0.48858141155580564,3.211724240662466e-07,-22.50622427856489,-0.014422391155741785,-23.778873146093208,41.65564972006239,41.30676715578196,-37.04027728026338,0.0,-0.0,-0.007063591355068638,-0.008633828958579908
2013-01-01 04:00:00,7.434001463170841e-07,0.48858240334973857,3.8475100501660173e-07,-7.773043062885304,0.8499187636692295,-24.648565936923006,35.99341662811004,32.18273751909948,-37.040275647191045,0.0,-0.0,-1.5996809722764738e-06,-2.573955153550293e-06
2013-01-01 05:00:00,7.43434118961971e-07,0.4885824067226528,3.846718226134941e-07,-5.730578613154407,5.96236934545322,-26.640177783961928,37.78662060286601,25.226230404106115,-37.040275584523215,0.0,-0.0,-1.6125663958064251e-06,-2.6208671588724374e-06
2013-01-01 06:00:00,7.43589102248078e-07,0.4885824112351538,3.8449587063508115e-07,-4.1716959372324185,7.15528095204528,-27.259126140012047,41.67029500746051,19.20971009982863,-37.040275579195786,0.0,-0.0,-1.6490169114149467e-06,-2.621275804646448e-06
2013-01-01 07:00:00,7.43951357702124e-07,0.48858241610148756,3.8433481652958745e-07,-4.9824186227122516,5.990642187750417,-26.948961082871616,45.47897774236034,17.06622381607215,-37.04027562040761,0.0,-0.0,-1.6715110079985606e-06,-2.6224021209037424e-06
2013-01-01 08:00:00,7.442948548847389e-07,0.4885824204608737,3.838916241218881e-07,-6.260520122509682,5.4782403503315695,-26.519760056166668,47.04443507007767,16.846799538457848,-37.04027569196162,0.01527107981820527,-1.766672239769594e-06,-1.6725211643233707e-06,-2.6055001857096743e-06
2013-01-01 09:00:00,7.38711648189409e-07,0.4885823754957564,3.8109541728461635e-07,-4.772562137495257,-0.44042875946501236,-24.58134538748947,47.07788783171835,17.560015200290085,-37.04027583847295,1.7608984657454154,-4.698082325869474e-06,-1.7377632219677252e-06,-2.721390760515452e-06
2013-01-01 10:00:00,7.441390869034686e-07,0.48858241526387514,3.834364259034248e-07,-3.804225850001104,0.00017142593670360233,-24.691857123246614,48.272364654568975,15.109229187990826,-37.040275773964304,1.718785916765491,-4.5817367397260395e-06,-1.7066145339867944e-06,-2.6308680332196937e-06
2013-01-01 11:00:00,7.393426769945169e-07,0.48858237763901297,3.811354588086057e-07,-3.8964502351249055,-2.0213320941164827,-23.808146852079254,48.606859779751666,15.108543241614466,-37.04027585970597,2.614991798486669,-4.4374541063075895e-06,-1.772383135516975e-06,-2.723604057110239e-06
2013-01-01 12:00:00,7.3947881999325e-07,0.4885823809254672,3.8146901519370247e-07,-3.8994532717247594,-7.810246562729344,-22.887986868565257,48.904820005997834,18.929076791938144,-37.04027581772134,3.36825905032802,-4.331400038181169e-06,-1.7192853110827856e-06,-2.7184634270909683e-06
2013-01-01 13:00:00,7.394420858184668e-07,0.4885823836118332,3.816009974767677e-07,-3.926693553668861,-10.21572868374044,-23.655498276827537,48.91653645651841,22.14192032767976,-37.04027580338215,3.3439327893783224,-4.300770353074938e-06,-1.6944043011335452e-06,-2.7192608298488833e-06
2013-01-01 14:00:00,7.392689372383623e-07,0.4885823856173676,3.812034937368235e-07,-4.83146978675953,-6.0087579501300405,-25.32166052297329,48.92938378326752,21.89709164606158,-37.040275846023725,1.9398822426836708,-4.614340333645772e-06,-1.69863516885016e-06,-2.7194131142590634e-06
2013-01-01 15:00:00,8.386534957042886e-07,0.48858325723379925,4.27559512133517e-07,-6.295806228808009,0.0002639884166739371,-28.303748214769588,48.932473370339416,22.271269515809,-37.04027075498456,0.0,-0.0,-9.943453337655227e-07,-1.6187674013002188e-06
2013-01-01 16:00:00,8.413347876985201e-07,0.4885832927183632,4.2876031701993124e-07,-12.258119488241757,5.632877098500038,-29.311686973869648,48.93916768731548,23.602213288722062,-37.040270127475566,0.0,-0.0,-9.812762095862127e-07,-1.6014063819478697e-06
2013-01-01 17:00:00,8.412481178063135e-07,0.4885832953587009,4.287681584429718e-07,-12.379365595118644,3.53314795818197,-29.79019806493643,48.944327855348696,26.296539357196703,-37.04027004122492,0.0,-0.0,-9.750722658736777e-07,-1.6008542827373966e-06
2013-01-01 18:00:00,8.410945442565631e-07,0.48858329746113943,4.2868168907317394e-07,-14.361983617994705,3.4482100654151617,-29.17622328725821,48.94361509697813,27.75083310657693,-37.04027001916463,0.0,-0.0,-9.73920474280021e-07,-1.6026189265208835e-06
2013-01-01 19:00:00,8.402817053927922e-07,0.48858329202730283,4.2815826900299147e-07,-12.044858890969051,0.00039197376331610086,-28.320856021330336,48.94636833496858,28.023406175303762,-37.040270170927826,0.0,-0.0,-9.77494142262003e-07,-1.6078137844170076e-06
2013-01-01 20:00:00,8.385079132651972e-07,0.4885832691163436,4.272194839939631e-07,-16.027677301153854,8.367430267332316e-05,-26.591105675679916,48.947207295925836,30.275943990538046,-37.040270454095264,0.0,-0.0,-9.815184951094124e-07,-1.6178889904959523e-06
2013-01-01 21:00:00,8.291073521618389e-07,0.4885831798230163,4.2268149929842623e-07,-18.676151280541937,-1.1027367159316304,-25.312861694882454,48.947821937673694,32.748381692484756,-37.04027177267683,0.0,-0.0,-1.0169166343985126e-06,-1.6769125758360907e-06
2013-01-01 22:00:00,8.291034099168193e-07,0.4885831817798656,4.226939742300624e-07,-17.634584297382187,-6.248159733058678,-23.89513498524266,48.947653396571084,35.434679544162435,-37.04027175334717,0.0,-0.0,-1.0169816598590841e-06,-1.677831930206812e-06
2013-01-01 23:00:00,8.290666916372578e-07,0.4885831830302341,4.2244905300655416e-07,-17.634585258207217,-5.024860144001773,-22.867083795967524,48.94693648802536,33.184046700073075,-37.04027181182359,0.0,-0.0,-1.0187853483785148e-06,-1.6797827161950115e-06
2013-01-02 00:00:00,8.289261060276008e-07,0.4885831831112141,4.220211371868709e-07,-17.63458923827216,-0.46247582390629166,-22.368015962570738,48.94259435012589,28.12694079570991,-37.0402719289425,0.0,-0.0,-1.025307969257483e-06,-1.6833609780343967e-06
2013-01-02 01:00:00,8.287979066339015e-07,0.48858318370587694,4.2203762711971096e-07,-17.634588145760727,-0.3019935323063732,-22.142595666614074,48.935448012719455,27.74818346759852,-37.04027193901092,0.0,-0.0,-1.0271085443491757e-06,-1.6856164172033308e-06
2013-01-02 02:00:00,8.359898825204266e-07,0.488583254999905,4.256875940211191e-07,-16.360197074788758,4.8465713826306085e-06,-22.032409395503816,48.91911530307944,26.077939015224658,-37.04027098338498,0.0,-0.0,-1.0021679854617104e-06,-1.6427123225731177e-06
2013-01-02 03:00:00,8.405630758892738e-07,0.48858330201481426,4.280630436753317e-07,-11.855215132108484,0.00012028354969424366,-22.902319108480533,48.85706155008845,22.50480382721208,-37.04027002802831,0.0,-0.0,-9.940647453277052e-07,-1.621213928879023e-06
2013-01-02 04:00:00,8.433763475838407e-07,0.4885833395462274,4.2990203585208145e-07,-8.336312466378942,0.6510722098728231,-26.806288729150175,48.80397470309536,22.2920047688279,-37.04026931592821,0.0,-0.0,-9.853103317709611e-07,-1.6078668876722815e-06
2013-01-02 05:00:00,8.432973287987896e-07,0.4885833401222856,4.3040237925458877e-07,-8.336311348283918,2.801669981357924,-29.794642049306333,48.67863379735628,23.25510003956984,-37.04026924854171,0.0,-0.0,-9.82813483915379e-07,-1.6127029658358884e-06
2013-01-02 06:00:00,8.431572692265862e-07,0.4885833402014274,4.30759204810417e-07,-8.380440953170861,7.238176798934932,-31.450002841647446,47.45225626168265,21.744461254752064,-37.04026919634895,0.0,-0.0,-9.897355448629241e-07,-1.62916101274704e-06
2013-01-02 07:00:00,8.420105814751664e-07,0.4885833308737202,4.300450948914347e-07,-8.534368607502017,10.441767989729431,-29.528208034602894,43.955009051781914,20.27025066898301,-37.04026966623405,0.0,-0.0,-1.0023594727499586e-06,-1.6580998726278043e-06
2013-01-02 08:00:00,8.683322925741373e-07,0.48858359955171526,4.424044363441303e-07,-2.349371047766052,10.48757878165317,-29.24034137946187,39.54130916991347,18.14762333748797,-37.04024938724142,0.017630851412087638,-9.803970582428849e-07,-9.269146887618263e-07,-1.4853768766143892e-06
2013-01-02 09:00:00,8.450220546732685e-07,0.4885833533041513,4.312941949647327e-07,-9.283088828971943,10.487347396952458,-21.37177064298885,35.2851237859971,15.570129319405533,-37.04026953879234,5.916712634627672,-2.9671296701267367e-06,-1.0235685507495874e-06,-1.6432735510288547e-06
2013-01-02 10:00:00,8.441338094027187e-07,0.4885833455277829,4.308228154375379e-07,-8.33624364089519,6.730436141003605,-21.744263304022727,39.69319524321019,12.932679565273105,-37.0402696650709,7.328650524461729,-3.5879101035034784e-06,-1.0569697989240013e-06,-1.6524837117505177e-06
