,CCGT,CHP,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,1.0257604068759106e-06,2.0585433598530343,2.852684472482465e-07,19.004220739495263,5.338229087678022e-07,-50.68387809353041,-108.95851913154624,1.607125011917748,21.460928406551254,133.62021332683398,-18.108628999256943,0.0,-0.0,-2.0382349684950895e-06,-2.05914138897971e-06
2013-01-01 01:00:00,1.025905077468702e-06,2.0585435373006296,2.8546778179671053e-07,19.004216650716597,5.338679462274319e-07,-47.96025107516008,-108.49196609639945,1.6058439363523407,18.868307138920535,133.02393951396934,-18.10862899549506,0.0,-0.0,-2.031891505794192e-06,-2.0562071697739043e-06
2013-01-01 02:00:00,1.0259612081573884e-06,2.0585433925587293,2.8553253398653506e-07,19.00433362507709,5.338785241148422e-07,-41.08668620466426,-110.76952898876698,1.615891999710819,16.380256241416337,130.90582353373955,-18.108628995384215,0.0,-0.0,-2.0226381057000253e-06,-2.05928194192809e-06
2013-01-01 03:00:00,1.0259845004061882e-06,2.058543342945662,2.8556140337296473e-07,19.004185665695683,5.338754856667093e-07,-42.31908459009045,-110.94151020247479,1.5835677657915512,17.194928207273335,131.52800340657336,-18.10862899346922,0.0,-0.0,-2.02290239121794e-06,-2.057180775025055e-06
2013-01-01 04:00:00,1.0259350665844071e-06,2.058543361693886,2.8550937658822365e-07,20.19035695441637,5.33848685061735e-07,-37.294190522463005,-110.94151348986684,1.5798162484175795,16.283501039001855,126.2321200021441,-18.108628998528427,0.0,-0.0,-2.0067750601810983e-06,-2.0614400083002627e-06
2013-01-01 05:00:00,1.0258939769098643e-06,2.058543305041464,2.8548306829153376e-07,14.048204289756931,5.338300741055221e-07,-25.73756006454716,-110.94151397089176,1.5882371871995,15.132769499372436,121.95995335255859,-18.108629005047376,0.0,-0.0,-1.994575996832282e-06,-2.071618375167887e-06
2013-01-01 06:00:00,1.0258815552034462e-06,2.0585432257867216,2.855236589190255e-07,12.1146924534491,5.338319527826589e-07,-16.270729358050904,-110.94154742543098,1.605563317067246,15.146492041274294,114.39561933997534,-18.10862901421987,0.0,-0.0,-1.970484726371069e-06,-2.0821583262288094e-06
2013-01-01 07:00:00,1.0259839715241457e-06,2.058543116284932,2.856915799115373e-07,13.177769768095542,5.338891578906699e-07,-14.152962851267757,-110.94154749744388,1.5892326240470653,16.159023888585853,110.21857455172415,-18.108629026036546,0.0,-0.0,-1.9553899264792564e-06,-2.0923707534438594e-06
2013-01-01 08:00:00,1.02619142096285e-06,2.0585429128485595,2.8594695371687056e-07,19.321913115934706,5.339882118101486e-07,-34.27550830748768,-110.9415113288356,1.4128869778312478,17.27806869629573,104.53659351340625,-18.108629013111344,18.717652058098977,-4.063577966217332e-06,-1.9261209677097213e-06,-2.1028975901365503e-06
2013-01-01 09:00:00,1.0265339760671511e-06,2.0585428691335963,2.860571701390265e-07,24.765108815873965,5.34148372433838e-07,-42.472987036935514,-110.94151088062229,1.2611832106798153,17.723711898160744,101.49237582721169,-18.108629039551843,24.222213345592564,-4.466987671454992e-06,-1.907679787109373e-06,-2.1037915690351704e-06
