,CCGT,CHP,Imports_Exports,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,1.390437404896501e-06,0.6104981693009337,-18.923965923293704,3.9589964847052737,-53.089017618175724,1.3424896540838092,6.6838741350939435,71.64351961487978,120.87410420307125,-132.44977753956888,0.0,-0.0,-0.04531886789878342,-0.03422324878123075
2013-01-01 01:00:00,1.3901002209422397e-06,0.6104982030513534,-18.923965916782144,3.092154113355026,-52.789606742670586,1.332218602835709,5.472704346718976,72.93090583338382,121.3806625802018,-132.44977754567347,0.0,-0.0,-0.04701028280333204,-0.03760412757953966
2013-01-01 02:00:00,1.3899878642052556e-06,0.6104982186265424,-18.923965981918744,0.9303033684183046,-50.99675511029655,1.2877511292295163,1.1312864199461943,72.86279326111212,126.21497497064946,-132.4497775493228,0.0,-0.0,-0.04995521438401771,-0.045974447924500624
2013-01-01 03:00:00,1.389750353520101e-06,0.6104982298929641,-18.923966059535903,1.3051596215893255,-51.20114198706655,1.3297239268308494,1.8336682910028157,71.93086229732889,126.21918255586185,-132.44977755437765,0.0,-0.0,-0.045116787009147126,-0.0379134700449643
2013-01-01 04:00:00,1.3894922829600195e-06,0.6104982380961992,-25.56783952649803,2.9186315034701535,-56.518907018770086,1.3399402917037029,5.750368973914632,71.75910386981283,132.81207396645638,-132.44977757032882,0.0,-0.0,-0.047674520971059293,-0.035239119002723224
2013-01-01 05:00:00,1.3898709811557157e-06,0.6104982464569154,-25.56783950045444,5.1100353501513425,-64.5301308909888,1.6741510907183037,8.106627686839904,71.67609221522497,135.94933573919243,-132.44977757659134,0.0,-0.0,-0.0037216864151895096,-0.00409158846572895
2013-01-01 06:00:00,1.3897751248045155e-06,0.6104982514243833,-25.56783949902939,4.941609653317289,-70.18131370613389,1.8274446441956287,7.94457123038661,71.75582897277835,141.69638431131588,-132.44977759202456,0.0,-0.0,-0.0029056838786218437,-0.003321496183154666
2013-01-01 07:00:00,1.3899936388692687e-06,0.6104982567936221,-25.567839490558303,4.817350128469661,-74.11608129205074,1.6882751239268068,7.82679975636876,71.65976056266425,146.10993560607997,-132.44977760117504,0.0,-0.0,-0.0036834676762914852,-0.004058496972135413
2013-01-01 08:00:00,1.3903574205957223e-06,0.6104982620856779,-25.567839482845276,2.85071138625828,-75.77361297807639,1.6127003402722115,5.580917672720366,71.53522509834355,152.18012067592116,-132.44977759408195,0.0,-0.0,-0.0036993702777999146,-0.004064925204291439
2013-01-01 09:00:00,1.3178080839078168e-06,0.6104977914386722,-25.537805515784658,-5.195342232883008,-62.38813000301494,0.9707456266913717,5.14976222834101e-06,71.25681935445087,152.51765420200454,-132.4497787104631,2.1906235378581314,-0.0370322871932709,-0.9947520118704004,-0.37232547314005926
