,CCGT,CHP,Imports_Exports,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment
2013-01-01 00:00:00,1.0210480802899654e-06,5.710805960682851e-06,18.86682777820476,-0.14744440019123117,-54.461097142385086,-0.7149738525029611,32.17983910040227,29.064215391257065,2.7458132497642422,-27.5331776261353,0.0,-0.0,-1.940548670265045e-06,-2.8764683402968713e-06
2013-01-01 01:00:00,1.0210266368396622e-06,5.713267967298629e-06,18.86683539965591,-0.1498609207335317,-53.48728526790119,-1.1604989819624998,32.17983909933008,28.677686540590614,2.6064642612041493,-27.5331776390485,0.0,-0.0,-1.9339452761584707e-06,-2.877846293250758e-06
2013-01-01 02:00:00,1.0209572854095226e-06,5.712015212474554e-06,18.866619460217088,-0.2048799956754299,-52.95070332311506,-2.2440894278782926,32.179839097035696,29.311004425514906,2.575389907127516,-27.533177650159008,0.0,-0.0,-1.931815459635354e-06,-2.87988010745007e-06
2013-01-01 03:00:00,1.0208269342382826e-06,5.710079835025966e-06,18.866892653043777,-0.14674410012228278,-55.029428802300686,-0.24598063669878137,32.17983909599435,29.42102444480794,2.4875775034482857,-27.533177668816993,0.0,-0.0,-1.9261857971215915e-06,-2.8782484227179273e-06
2013-01-01 04:00:00,1.0338618906466806e-06,5.812021396855255e-06,12.088512040726789,0.6069214889396092,-52.011602072609776,2.8147414538576787,32.179839185829174,29.38228157195805,2.47248602910483,-27.53317753223184,0.0,-0.0,-1.8411110493246377e-06,-2.7675913174999596e-06
2013-01-01 05:00:00,1.0338744273112927e-06,5.812112991952002e-06,16.48020080628157,1.3786449283698161,-56.75224729191602,2.857852324386411,32.17983919331019,29.05537530533243,2.333514453547854,-27.53317756697509,0.0,-0.0,-1.8290629982620417e-06,-2.7639786074961294e-06
2013-01-01 06:00:00,1.033864943285919e-06,5.812724625106564e-06,16.993625495718995,2.7962867048609428,-58.30848759579523,2.90629546724706,32.179839197159914,28.762650004530034,2.2029704110886215,-27.533177585200253,0.0,-0.0,-1.7781761796766235e-06,-2.762986854696295e-06
2013-01-01 07:00:00,1.0338688081359883e-06,5.813869975735812e-06,16.66705299447785,1.4056861741843443,-56.17649108325165,2.957512663846061,32.17983918767815,28.498447285983836,2.001132410800694,-27.5331775840624,0.0,-0.0,-1.7289671928023033e-06,-2.7629240816824433e-06
2013-01-01 08:00:00,1.0338303161470432e-06,5.807059029099471e-06,11.5254949447954,0.5485589488177565,-51.87677781572382,3.0173607014279695,32.179839137229855,28.34246234012111,1.8576773753225377,-27.533177559718382,1.9385676620593775,-3.7099311647317486e-06,-1.6902339693454887e-06,-2.761827371086117e-06
2013-01-01 09:00:00,1.02091472150574e-06,5.713575623163327e-06,6.195529507533811,-1.0223051674881256,-43.404669379247764,-2.0887385798223304,32.17983900850401,27.88094837499779,1.6542215446853383,-27.53317769488542,6.138358959258112,-4.2542424328380794e-06,-1.6907127570594329e-06,-2.8668882042753277e-06
2013-01-01 10:00:00,1.0212324087546973e-06,5.715747636212314e-06,6.22500634713847,-4.356853220242972,-38.88786579300159,-2.0450936789081178,32.17983897970654,25.63289158908653,1.308613441362491,-27.5331776944091,7.47664706162353,-4.819644481050693e-06,-1.5512073205354425e-06,-2.8645660980902494e-06
2013-01-01 11:00:00,1.021854977183653e-06,5.7212845843685726e-06,6.567399359125326,-7.213099823543788,-35.89129900351965,-2.004780352421315,32.17983896060054,24.554699950985263,1.217333539804175,-27.53317770025875,8.12309217937633,-5.020059499383417e-06,-1.506161452116338e-06,-2.839175557245183e-06
2013-01-01 12:00:00,1.0217823594572987e-06,5.7245566282625396e-06,6.566125225600441,-8.34776720016192,-34.75085224005947,-1.964530200386566,32.179838962439625,25.254983289116577,1.1638815264332767,-27.533177731102278,7.431505480412899,-4.995772425700147e-06,-1.467794524299475e-06,-2.8364733674109308e-06
2013-01-01 13:00:00,1.0201938739246e-06,5.720432595253602e-06,6.554560910360979,-6.027767896946723,-37.21257547800309,-1.8984798191854193,32.1798389735628,25.42774423075681,1.1618184806637353,-27.53317778628981,7.3480453784793855,-4.838772177025191e-06,-1.4790569290700616e-06,-2.8513296298397954e-06
