"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","18WEHIBGES-123-W","EHIBGES","5633","5901","Spain","400","26.05.2016",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","18WDUER-12345-0N","DUERO G","3543","3543","Spain","400","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","18WTAJO-12345-0U","TAJO G","2232","2232","Spain","400","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","18WEGREEN-1234-3","EOLICAGEST","2341","2153","Spain","400","19.05.2016",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","18WEBRFEN-123-0T","ENH-FEC-GR","1871","1871","Spain","220","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","18WEREGPEM-123-F","EREGPEM","1322","1572","Spain","400","11.11.2016",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","18WSIL-123456-0G","SIL G","1557","1557","Spain","220","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Water Reservoir","18WMUEL-12345-03","MUELA G","1512","1512","Valencia","400","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Pumped Storage","18WMUEB-12345-0T","MUELA B","1390","1390","Valencia","400","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Hydro Pumped Storage","18WDUEB-12345-0Z","DUERO B","1308","1308","Spain","400","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Solar","18W000000000NXPQ","FHIBGES","647","1296","Spain","400","01.08.2022",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","18W000000000MU2B","EOLICAGES1","816","1107","Spain","400","22.03.2022",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","18WCOF1-12345-0O","COFRENTES","1064","1064","Valencia","400","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","18WVAN2-12345-0W","VANDELLOS","1045","1045","Tarragona","400","01.01.2012",""
"CTA|ES / 01.01.2023 00:00 - 01.01.2024 00:00","Wind Onshore","18WEEGPEM-1234-9","EEGPEM","1039","1039","Spain","400","01.04.2016",""
