"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Nuclear","15WPAKS------PPL","Paksi Atomerőmű","1916","1916","Paks","400","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Brown coal/Lignite","15WMATRA-----PPK","Mátrai Erőmű","852","852","Visonta","220","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Gas","15WDUME------PPI","DUMEuz -Dunamenti Erőmű","785","760","Százhalombatta","220","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Other renewable","15WSINERGYR--PP6","SINERGYR","323","680","Budapest","132","01.07.2021",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Gas","15WGONYU-----PP5","Gönyűi Erőmű","437","437","Gönyű","400","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Gas","15WCSEPEL----PPI","Alpiq Csepel Erőmű","401","401","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Solar","15WEWISER----PP7","Ewiser szabályozó központ","203","374","Cirák","132","30.11.2020",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Other renewable","15WPLOOP-----PPL","BÖRZE szabályozási központ","216","342","Budapest","132","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Solar","15WMVMZG-----UZ9","MVMZGuz","144","259","Budapest","132","31.05.2022",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Solar","15W-MECSPV--UZ-G","MECSPVuz","N/A","234","Mezőcsát","220","31.03.2023",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Gas","15WKELENF----PP8","Kelenföldi Erőmű","173","173","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Oil","15WLORINC----PPF","LORIGTuz - Lőrinci Gázturbinás Erőmű","172","172","Budapest","120","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Gas","15WMVMSZK----PPY","MVM szabályozási központ","156","159","Budapest","20","31.12.2014",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Gas","15WSINERGY---PPQ","Sinergy szabályozási központ","107","124","Budapest","20","31.12.2013",""
"CTA|HU / 01.01.2023 00:00 - 01.01.2024 00:00","Fossil Oil","15WSAJSZOGED-PP4","Sajószögedi Gázturbinás Erőmű","120","120","Sajószöged","120","31.12.2013",""
