index,NO -> DE,NO -> SE,NO -> FI,NO -> DK,NO -> UK,NO -> NL
2022-01-01 00:00:00+0000,0.0,582.0,79.0,0.0,188.0,0.0
2022-01-01 00:15:00+0000,0.0,,,,,
2022-01-01 00:30:00+0000,0.0,,,,,
2022-01-01 00:45:00+0000,0.0,,,,,
2022-01-01 01:00:00+0000,0.0,587.0,88.0,0.0,0.0,0.0
2022-01-01 01:15:00+0000,0.0,,,,,
2022-01-01 01:30:00+0000,0.0,,,,,
2022-01-01 01:45:00+0000,0.0,,,,,
2022-01-01 02:00:00+0000,0.0,533.0,86.0,0.0,0.0,0.0
2022-01-01 02:15:00+0000,0.0,,,,,
2022-01-01 02:30:00+0000,0.0,,,,,
2022-01-01 02:45:00+0000,0.0,,,,,
2022-01-01 03:00:00+0000,0.0,508.0,88.0,0.0,0.0,0.0
2022-01-01 03:15:00+0000,0.0,,,,,
2022-01-01 03:30:00+0000,0.0,,,,,
2022-01-01 03:45:00+0000,0.0,,,,,
2022-01-01 04:00:00+0000,0.0,464.0,86.0,0.0,0.0,0.0
2022-01-01 04:15:00+0000,0.0,,,,,
2022-01-01 04:30:00+0000,0.0,,,,,
2022-01-01 04:45:00+0000,0.0,,,,,
2022-01-01 05:00:00+0000,0.0,460.0,86.0,0.0,0.0,0.0
2022-01-01 05:15:00+0000,0.0,,,,,
2022-01-01 05:30:00+0000,0.0,,,,,
2022-01-01 05:45:00+0000,0.0,,,,,
2022-01-01 06:00:00+0000,0.0,495.0,84.0,0.0,0.0,0.0
2022-01-01 06:15:00+0000,0.0,,,,,
2022-01-01 06:30:00+0000,0.0,,,,,
2022-01-01 06:45:00+0000,0.0,,,,,
2022-01-01 07:00:00+0000,0.0,567.0,51.0,0.0,0.0,0.0
2022-01-01 07:15:00+0000,0.0,,,,,
2022-01-01 07:30:00+0000,0.0,,,,,
2022-01-01 07:45:00+0000,0.0,,,,,
2022-01-01 08:00:00+0000,0.0,620.0,47.0,0.0,0.0,0.0
2022-01-01 08:15:00+0000,0.0,,,,,
2022-01-01 08:30:00+0000,0.0,,,,,
2022-01-01 08:45:00+0000,0.0,,,,,
2022-01-01 09:00:00+0000,0.0,696.0,55.0,0.0,0.0,0.0
2022-01-01 09:15:00+0000,0.0,,,,,
2022-01-01 09:30:00+0000,0.0,,,,,
2022-01-01 09:45:00+0000,0.0,,,,,
2022-01-01 10:00:00+0000,0.0,777.0,66.0,0.0,0.0,0.0
2022-01-01 10:15:00+0000,0.0,,,,,
2022-01-01 10:30:00+0000,0.0,,,,,
2022-01-01 10:45:00+0000,0.0,,,,,
2022-01-01 11:00:00+0000,0.0,886.0,52.0,0.0,0.0,0.0
2022-01-01 11:15:00+0000,0.0,,,,,
2022-01-01 11:30:00+0000,0.0,,,,,
2022-01-01 11:45:00+0000,0.0,,,,,
2022-01-01 12:00:00+0000,0.0,855.0,43.0,0.0,0.0,0.0
2022-01-01 12:15:00+0000,0.0,,,,,
2022-01-01 12:30:00+0000,0.0,,,,,
2022-01-01 12:45:00+0000,0.0,,,,,
2022-01-01 13:00:00+0000,0.0,890.0,43.0,0.0,0.0,0.0
2022-01-01 13:15:00+0000,0.0,,,,,
2022-01-01 13:30:00+0000,0.0,,,,,
2022-01-01 13:45:00+0000,0.0,,,,,
2022-01-01 14:00:00+0000,0.0,888.0,49.0,0.0,0.0,0.0
2022-01-01 14:15:00+0000,0.0,,,,,
2022-01-01 14:30:00+0000,0.0,,,,,
2022-01-01 14:45:00+0000,0.0,,,,,
2022-01-01 15:00:00+0000,0.0,846.0,56.0,0.0,211.0,0.0
2022-01-01 15:15:00+0000,0.0,,,,,
2022-01-01 15:30:00+0000,0.0,,,,,
2022-01-01 15:45:00+0000,0.0,,,,,
2022-01-01 16:00:00+0000,0.0,848.0,52.0,0.0,636.0,36.0
2022-01-01 16:15:00+0000,0.0,,,,,
2022-01-01 16:30:00+0000,0.0,,,,,
2022-01-01 16:45:00+0000,0.0,,,,,
2022-01-01 17:00:00+0000,0.0,828.0,50.0,0.0,692.0,90.0
2022-01-01 17:15:00+0000,0.0,,,,,
2022-01-01 17:30:00+0000,0.0,,,,,
2022-01-01 17:45:00+0000,0.0,,,,,
2022-01-01 18:00:00+0000,0.0,726.0,37.0,0.0,694.0,0.0
2022-01-01 18:15:00+0000,0.0,,,,,
2022-01-01 18:30:00+0000,0.0,,,,,
2022-01-01 18:45:00+0000,0.0,,,,,
2022-01-01 19:00:00+0000,0.0,675.0,34.0,0.0,679.0,0.0
2022-01-01 19:15:00+0000,0.0,,,,,
2022-01-01 19:30:00+0000,0.0,,,,,
2022-01-01 19:45:00+0000,0.0,,,,,
2022-01-01 20:00:00+0000,0.0,655.0,38.0,0.0,401.0,0.0
2022-01-01 20:15:00+0000,0.0,,,,,
2022-01-01 20:30:00+0000,0.0,,,,,
2022-01-01 20:45:00+0000,0.0,,,,,
2022-01-01 21:00:00+0000,0.0,702.0,33.0,0.0,0.0,0.0
2022-01-01 21:15:00+0000,0.0,,,,,
2022-01-01 21:30:00+0000,0.0,,,,,
2022-01-01 21:45:00+0000,0.0,,,,,
2022-01-01 22:00:00+0000,0.0,806.0,37.0,0.0,0.0,0.0
2022-01-01 22:15:00+0000,0.0,,,,,
2022-01-01 22:30:00+0000,0.0,,,,,
2022-01-01 22:45:00+0000,0.0,,,,,
2022-01-01 23:00:00+0000,0.0,807.0,40.0,0.0,0.0,0.0
2022-01-01 23:15:00+0000,0.0,,,,,
2022-01-01 23:30:00+0000,0.0,,,,,
2022-01-01 23:45:00+0000,0.0,,,,,
2022-01-02 00:00:00+0000,0.0,887.0,44.0,0.0,0.0,0.0
2022-01-02 00:15:00+0000,0.0,,,,,
2022-01-02 00:30:00+0000,0.0,,,,,
2022-01-02 00:45:00+0000,0.0,,,,,
2022-01-02 01:00:00+0000,0.0,839.0,46.0,0.0,0.0,0.0
2022-01-02 01:15:00+0000,0.0,,,,,
2022-01-02 01:30:00+0000,0.0,,,,,
2022-01-02 01:45:00+0000,0.0,,,,,
2022-01-02 02:00:00+0000,0.0,829.0,41.0,0.0,0.0,0.0
2022-01-02 02:15:00+0000,0.0,,,,,
2022-01-02 02:30:00+0000,0.0,,,,,
2022-01-02 02:45:00+0000,0.0,,,,,
2022-01-02 03:00:00+0000,0.0,732.0,33.0,0.0,0.0,0.0
2022-01-02 03:15:00+0000,0.0,,,,,
2022-01-02 03:30:00+0000,0.0,,,,,
2022-01-02 03:45:00+0000,0.0,,,,,
2022-01-02 04:00:00+0000,0.0,671.0,29.0,0.0,0.0,0.0
2022-01-02 04:15:00+0000,0.0,,,,,
2022-01-02 04:30:00+0000,0.0,,,,,
2022-01-02 04:45:00+0000,0.0,,,,,
2022-01-02 05:00:00+0000,0.0,623.0,23.0,0.0,0.0,0.0
2022-01-02 05:15:00+0000,0.0,,,,,
