10:30 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,602,,328,,5,,n/e,n/e,285,,n/e,n/e,15,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1609,
11:00 - 11:30,n/e,n/e,n/e,n/e,n/e,n/e,716,,347,,5,,n/e,n/e,299,,n/e,n/e,105,,69,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1729,
11:30 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,651,,425,,5,,n/e,n/e,306,,n/e,n/e,15,,78,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1826,
12:00 - 12:30,n/e,n/e,n/e,n/e,n/e,n/e,630,,493,,5,,n/e,n/e,327,,n/e,n/e,25,,81,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1632,
12:30 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,625,,466,,5,,n/e,n/e,327,,n/e,n/e,22,,95,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1656,
13:00 - 13:30,n/e,n/e,n/e,n/e,n/e,n/e,599,,454,,5,,n/e,n/e,321,,n/e,n/e,16,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1604,
13:30 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,603,,408,,5,,n/e,n/e,322,,n/e,n/e,16,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1639,
14:00 - 14:30,n/e,n/e,n/e,n/e,n/e,n/e,587,,390,,5,,n/e,n/e,319,,n/e,n/e,15,,101,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1614,
14:30 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,614,,416,,5,,n/e,n/e,326,,n/e,n/e,21,,103,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1595,
15:00 - 15:30,n/e,n/e,n/e,n/e,n/e,n/e,626,,428,,5,,n/e,n/e,327,,n/e,n/e,25,,104,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1572,
