00:00 - 00:30,N/A,N/A,n/e,n/e,n/e,n/e,5329,0,3659,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,851,,n/e,n/e,n/e,n/e,8289,,2036,0,n/e,n/e,0,,n/e,n/e,3252,,4076,348
00:30 - 01:00,N/A,N/A,n/e,n/e,n/e,n/e,6662,0,3551,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,662,,n/e,n/e,n/e,n/e,8292,,2043,0,n/e,n/e,0,,n/e,n/e,2817,,3920,293
01:00 - 01:30,N/A,N/A,n/e,n/e,n/e,n/e,7017,0,4003,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,646,,n/e,n/e,n/e,n/e,8299,,1940,0,n/e,n/e,0,,n/e,n/e,2501,,3621,279
01:30 - 02:00,N/A,N/A,n/e,n/e,n/e,n/e,7158,0,3957,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,15,,643,,n/e,n/e,n/e,n/e,8286,,1946,0,n/e,n/e,0,,n/e,n/e,2155,,3467,223
02:00 - 02:30,N/A,N/A,n/e,n/e,n/e,n/e,6961,0,3756,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,642,,n/e,n/e,n/e,n/e,8282,,2047,0,n/e,n/e,0,,n/e,n/e,1605,,3231,257
02:30 - 03:00,N/A,N/A,n/e,n/e,n/e,n/e,6945,0,3603,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,643,,n/e,n/e,n/e,n/e,8271,,2043,0,n/e,n/e,0,,n/e,n/e,1208,,3072,294
03:00 - 03:30,N/A,N/A,n/e,n/e,n/e,n/e,7420,0,3229,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,148,,644,,n/e,n/e,n/e,n/e,8267,,2037,0,n/e,n/e,0,,n/e,n/e,933,,3000,321
03:30 - 04:00,N/A,N/A,n/e,n/e,n/e,n/e,7419,0,3248,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,41,,780,,n/e,n/e,n/e,n/e,8269,,2035,0,n/e,n/e,0,,n/e,n/e,815,,2860,222
04:00 - 04:30,N/A,N/A,n/e,n/e,n/e,n/e,6803,0,3429,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,894,,n/e,n/e,n/e,n/e,8235,,2039,0,n/e,n/e,0,,n/e,n/e,621,,2777,220
04:30 - 05:00,N/A,N/A,n/e,n/e,n/e,n/e,6362,0,3429,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,960,,n/e,n/e,n/e,n/e,8231,,2043,0,n/e,n/e,0,,n/e,n/e,505,,2743,207
