,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,FLAMANVILLE 3,1675.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHOOZ 2,1500.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHOOZ 1,1500.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIVAUX 2,1495.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIVAUX 1,1495.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 2,1335.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 1,1335.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENLY 2,1330.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 1,1330.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENLY 1,1330.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 4,1330.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 2,1330.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 2,1330.0,1.0,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
