Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,GRAND MAISON,1714.0,1.0,FR,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 3,,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHOOZ 2,1500.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHOOZ 1,1500.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIVAUX 2,1495.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIVAUX 1,1495.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 2,1335.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 1,1335.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENLY 2,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 1,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENLY 1,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 4,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 2,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 2,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 3,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 1,1330.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BELLEVILLE 2,1310.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BELLEVILLE 1,1310.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOLFECH 2,1310.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOLFECH 1,1310.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOGENT 1,1310.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOGENT 2,1310.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 1,1300.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 4,1300.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 3,1300.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 2,1300.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 1,915.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 2,915.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST LAURENT 2,915.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRUAS 4,915.0,1.0,FR,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
