index,SE -> NO,SE -> LT,SE -> FI,SE -> DE,SE -> DK,SE -> PL
2022-01-01 03:00:00+0000,3052.0,407.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00+0000,3181.0,663.0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00+0000,3210.0,611.0,0.0,0.0,0.0,0.0
2022-01-01 06:00:00+0000,3138.0,473.0,0.0,0.0,0.0,0.0
2022-01-01 07:00:00+0000,3295.0,463.0,0.0,0.0,0.0,0.0
2022-01-01 08:00:00+0000,3328.0,301.0,0.0,0.0,0.0,0.0
2022-01-01 09:00:00+0000,3792.0,79.0,0.0,0.0,0.0,0.0
2022-01-01 10:00:00+0000,3703.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 11:00:00+0000,3707.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 12:00:00+0000,3727.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 13:00:00+0000,3895.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 14:00:00+0000,3315.0,117.0,0.0,0.0,0.0,1.0
2022-01-01 15:00:00+0000,2187.0,403.0,0.0,0.0,419.0,377.0
2022-01-01 16:00:00+0000,2499.0,149.0,0.0,0.0,685.0,587.0
2022-01-01 17:00:00+0000,2915.0,124.0,0.0,56.0,671.0,597.0
2022-01-01 18:00:00+0000,2791.0,0.0,0.0,285.0,724.0,597.0
2022-01-01 19:00:00+0000,2773.0,0.0,0.0,304.0,755.0,597.0
2022-01-01 20:00:00+0000,2338.0,329.0,149.0,27.0,679.0,597.0
2022-01-01 21:00:00+0000,2351.0,266.0,187.0,0.0,725.0,597.0
2022-01-01 22:00:00+0000,2335.0,548.0,0.0,0.0,861.0,597.0
2022-01-01 23:00:00+0000,2131.0,311.0,0.0,0.0,1022.0,597.0
2022-01-02 00:00:00+0000,2167.0,192.0,0.0,0.0,919.0,597.0
2022-01-02 01:00:00+0000,2472.0,73.0,0.0,0.0,835.0,597.0
2022-01-02 02:00:00+0000,2423.0,305.0,39.0,0.0,337.0,588.0
2022-01-02 03:00:00+0000,2294.0,472.0,0.0,0.0,698.0,151.0
2022-01-02 04:00:00+0000,2120.0,667.0,640.0,0.0,303.0,530.0
2022-01-02 05:00:00+0000,1935.0,731.0,1070.0,0.0,432.0,596.0
2022-01-02 06:00:00+0000,1074.0,702.0,1063.0,0.0,653.0,590.0
2022-01-02 07:00:00+0000,1103.0,657.0,959.0,0.0,563.0,368.0
