avail_qty,nominal_power,production_resource_name,start,end,Total_Capacity,Outage_Factor
0.0,576.0,ECHV_______,2023-01-01 00:00:00+00:00,2023-01-01 23:00:00+00:00,767.0,0.0
269.8,576.0,ECHV_______,2023-01-02 05:45:00+00:00,2023-01-02 15:00:00+00:00,767.0,0.3517601043024772
0.0,192.0,ECHV_______,2023-01-01 23:00:00+00:00,2023-01-02 05:45:00+00:00,767.0,0.0
164.9,192.0,ECHV_______,2023-01-02 21:00:00+00:00,2023-01-02 22:00:00+00:00,767.0,0.21499348109517602
169.9,192.0,ECHV_______,2023-01-03 13:45:00+00:00,2023-01-03 15:30:00+00:00,767.0,0.22151238591916558
169.9,192.0,ECHV_______,2023-01-03 19:00:00+00:00,2023-01-04 03:00:00+00:00,767.0,0.22151238591916558
289.8,384.0,ECHV_______,2023-01-04 05:15:00+00:00,2023-01-04 06:00:00+00:00,767.0,0.3778357235984355
494.7000000000001,576.0,ECHV_______,2023-01-04 06:30:00+00:00,2023-01-04 06:45:00+00:00,767.0,0.6449804432855282
154.9,192.0,ECHV_______,2023-01-04 06:00:00+00:00,2023-01-04 06:30:00+00:00,767.0,0.20195567144719687
309.8,384.0,ECHV_______,2023-01-04 07:00:00+00:00,2023-01-05 08:00:00+00:00,767.0,0.40391134289439373
339.8,576.0,ECHV_______,2023-01-05 09:00:00+00:00,2023-01-05 11:00:00+00:00,767.0,0.44302477183833117
174.9,192.0,ECHV_______,2023-01-05 08:00:00+00:00,2023-01-05 09:00:00+00:00,767.0,0.22803129074315515
164.9,192.0,ECHV_______,2023-01-05 11:00:00+00:00,2023-01-05 14:00:00+00:00,767.0,0.21499348109517602
144.9,384.0,ECHV_______,2023-01-06 23:00:00+00:00,2023-01-07 23:00:00+00:00,767.0,0.18891786179921774
144.9,192.0,ECHV_______,2023-01-05 14:00:00+00:00,2023-01-06 23:00:00+00:00,767.0,0.18891786179921774
174.9,1152.0,ECHV_______,2023-01-08 01:00:00+00:00,2023-01-08 23:00:00+00:00,767.0,0.15182291666666667
0.0,192.0,ECHV_______,2023-01-07 23:00:00+00:00,2023-01-08 01:00:00+00:00,767.0,0.0
0.0,192.0,ECHV_______,2023-01-08 23:00:00+00:00,2023-01-09 03:00:00+00:00,767.0,0.0
414.7000000000001,576.0,ECHV_______,2023-01-09 07:00:00+00:00,2023-01-09 18:15:00+00:00,767.0,0.540677966101695
164.9,192.0,ECHV_______,2023-01-09 05:30:00+00:00,2023-01-09 07:00:00+00:00,767.0,0.21499348109517602
289.8,384.0,ECHV_______,2023-01-09 19:00:00+00:00,2023-01-09 22:00:00+00:00,767.0,0.3778357235984355
144.9,192.0,ECHV_______,2023-01-09 18:15:00+00:00,2023-01-09 19:00:00+00:00,767.0,0.18891786179921774
309.8,384.0,ECHV_______,2023-01-09 22:00:00+00:00,2023-01-10 01:00:00+00:00,767.0,0.40391134289439373
474.7000000000001,576.0,ECHV_______,2023-01-10 01:00:00+00:00,2023-01-10 14:00:00+00:00,767.0,0.6189048239895699
349.8,576.0,ECHV_______,2023-01-12 07:45:00+00:00,2023-01-13 12:30:00+00:00,767.0,0.4560625814863103
174.9,192.0,ECHV_______,2023-01-10 18:00:00+00:00,2023-01-12 07:45:00+00:00,767.0,0.22803129074315515
174.9,192.0,ECHV_______,2023-01-13 12:30:00+00:00,2023-01-13 14:00:00+00:00,767.0,0.22803129074315515
0.0,960.0,ECHV_______,2023-01-13 23:30:00+00:00,2023-01-16 03:00:00+00:00,767.0,0.0
0.0,192.0,ECHV_______,2023-01-13 23:15:00+00:00,2023-01-13 23:30:00+00:00,767.0,0.0
0.0,192.0,ECHV_______,2023-01-16 03:00:00+00:00,2023-01-16 04:00:00+00:00,767.0,0.0
1873.8000000000009,2496.0,ECHV_______,2023-01-16 04:00:00+00:00,2023-01-20 23:00:00+00:00,767.0,0.7507211538461542
164.9,384.0,ECHV_______,2023-01-21 08:00:00+00:00,2023-01-21 21:00:00+00:00,767.0,0.21499348109517602
0.0,192.0,ECHV_______,2023-01-20 23:15:00+00:00,2023-01-21 08:00:00+00:00,767.0,0.0
8315.699999999999,11328.0,ECHV_______,2023-01-23 03:00:00+00:00,2023-02-11 21:30:00+00:00,767.0,0.7340836864406779
0.0,192.0,ECHV_______,2023-01-21 21:00:00+00:00,2023-01-23 03:00:00+00:00,767.0,0.0
179.9,192.0,ECHV_______,2023-02-12 06:00:00+00:00,2023-02-12 08:15:00+00:00,767.0,0.23455019556714474
514.7,768.0,ECHV_______,2023-02-12 13:45:00+00:00,2023-02-12 20:45:00+00:00,767.0,0.6701822916666668
179.9,192.0,ECHV_______,2023-02-12 13:30:00+00:00,2023-02-12 13:45:00+00:00,767.0,0.23455019556714474
339.8,384.0,ECHV_______,2023-02-13 20:15:00+00:00,2023-02-13 20:30:00+00:00,767.0,0.44302477183833117
164.9,192.0,ECHV_______,2023-02-13 14:30:00+00:00,2023-02-13 20:15:00+00:00,767.0,0.21499348109517602
369.8,384.0,ECHV_______,2023-02-14 07:00:00+00:00,2023-02-14 12:00:00+00:00,767.0,0.4821382007822686
