Unnamed: 0,WTON,WTOF,PHOT,HROR
2023-01-01 00:00:00+00:00,0.4323586744639376,0,0,0.3207997612652939
2023-01-01 01:00:00+00:00,0.4191033138401559,0,0,0.3206505520740078
2023-01-01 02:00:00+00:00,0.4007797270955165,0,0,0.3172187406744255
2023-01-01 03:00:00+00:00,0.3651072124756335,0,0,0.3176663682482841
2023-01-01 04:00:00+00:00,0.3309941520467836,0,0,0.3064756789018203
2023-01-01 05:00:00+00:00,0.3419103313840156,0,0,0.3054312145628171
2023-01-01 06:00:00+00:00,0.3385964912280702,0,0,0.3073709340495374
2023-01-01 07:00:00+00:00,0.3391812865497076,0,0,0.3069233064756789
2023-01-01 08:00:00+00:00,0.3734892787524366,0,0,0.3048343777976723
2023-01-01 09:00:00+00:00,0.3826510721247563,0,0,0.300507311250373
2023-01-01 10:00:00+00:00,0.3692007797270955,0,0,0.3063264697105342
2023-01-01 11:00:00+00:00,0.3881091617933723,0,0,0.31274246493584
2023-01-01 12:00:00+00:00,0.4335282651072125,0,0,0.3148313936138466
2023-01-01 13:00:00+00:00,0.4378167641325536,0,0,0.3145329752312742
2023-01-01 14:00:00+00:00,0.4179337231968811,0,0,0.3206505520740078
2023-01-01 15:00:00+00:00,0.3787524366471735,0,0,0.3297523127424649
2023-01-01 16:00:00+00:00,0.3625730994152046,0,0,0.3318412414204715
2023-01-01 17:00:00+00:00,0.3471734892787524,0,0,0.3282602208296031
2023-01-01 18:00:00+00:00,0.3649122807017544,0,0,0.3225902715607281
2023-01-01 19:00:00+00:00,0.3596491228070175,0,0,0.3242315726648762
2023-01-01 20:00:00+00:00,0.3313840155945419,0,0,0.3279618024470307
2023-01-01 21:00:00+00:00,0.3095516569200779,0,0,0.3267681289167413
2023-01-01 22:00:00+00:00,0.2750487329434697,0,0,0.32408236347359
2023-01-01 23:00:00+00:00,0.2140350877192982,0,0,0.3119964189794091
2023-01-02 00:00:00+00:00,0.1664717348927875,0,0,0.3130408833184124
2023-01-02 01:00:00+00:00,0.1590643274853801,0,0,0.3073709340495374
2023-01-02 02:00:00+00:00,0.1378167641325536,0,0,0.3093106535362578
2023-01-02 03:00:00+00:00,0.134307992202729,0,0,0.3085646075798269
2023-01-02 04:00:00+00:00,0.1296296296296296,0,0,0.3096090719188302
2023-01-02 05:00:00+00:00,0.1253411306042885,0,0,0.3154282303789913
2023-01-02 06:00:00+00:00,0.1265107212475633,0,0,0.3258728737690242
2023-01-02 07:00:00+00:00,0.1362573099415204,0,0,0.3354222620113399
2023-01-02 08:00:00+00:00,0.1526315789473684,0,0,0.3398985377499254
2023-01-02 09:00:00+00:00,0.1522417153996101,0,0,0.3492987168009549
2023-01-02 10:00:00+00:00,0.1491228070175438,0,0,0.355863921217547
2023-01-02 11:00:00+00:00,0.1553606237816764,0,0,0.3554162936436884
2023-01-02 12:00:00+00:00,0.145224171539961,0,0,0.3603401969561325
2023-01-02 13:00:00+00:00,0.1426900584795321,0,0,0.3612354521038496
2023-01-02 14:00:00+00:00,0.1596491228070175,0,0,0.3612354521038496
2023-01-02 15:00:00+00:00,0.1859649122807017,0,0,0.3589973142345568
2023-01-02 16:00:00+00:00,0.1637426900584795,0,0,0.3622799164428529
2023-01-02 17:00:00+00:00,0.1723196881091618,0,0,0.3640704267382871
2023-01-02 18:00:00+00:00,0.1670565302144249,0,0,0.3618322888689943
2023-01-02 19:00:00+00:00,0.1573099415204678,0,0,0.3606386153387048
2023-01-02 20:00:00+00:00,0.1352826510721247,0,0,0.3570575947478365
2023-01-02 21:00:00+00:00,0.1019493177387914,0,0,0.3536257833482542
2023-01-02 22:00:00+00:00,0.1033138401559454,0,0,0.3487018800358102
2023-01-02 23:00:00+00:00,0.0748538011695906,0,0,0.3433303491495076
2023-01-03 00:00:00+00:00,0.084990253411306,0,0,0.3375111906893465
2023-01-03 01:00:00+00:00,0.0980506822612085,0,0,0.3410922112802149
2023-01-03 02:00:00+00:00,0.08635477582846,0,0,0.3373619814980603
2023-01-03 03:00:00+00:00,0.0797270955165692,0,0,0.3397493285586392
2023-01-03 04:00:00+00:00,0.0902534113060428,0,0,0.3393017009847807
2023-01-03 05:00:00+00:00,0.1097465886939571,0,0,0.3492987168009549
2023-01-03 06:00:00+00:00,0.1183235867446393,0,0,0.3516860638615339
2023-01-03 07:00:00+00:00,0.1105263157894736,0,0,0.3573560131304088
2023-01-03 08:00:00+00:00,0.1434697855750487,0,0,0.3643688451208594
2023-01-03 09:00:00+00:00,0.1444444444444444,0,0,0.360787824529991
2023-01-03 10:00:00+00:00,0.1619883040935672,0,0,0.3612354521038496
2023-01-03 11:00:00+00:00,0.1627680311890838,0,0,0.3531781557743957
2023-01-03 12:00:00+00:00,0.1569200779727095,0,0,0.3528797373918233
2023-01-03 13:00:00+00:00,0.1623781676413255,0,0,0.3585496866606983
2023-01-03 14:00:00+00:00,0.1816764132553606,0,0,0.3704864219635929
2023-01-03 15:00:00+00:00,0.2272904483430799,0,0,0.3715308863025962
2023-01-03 16:00:00+00:00,0.2752436647173489,0,0,0.3691435392420173
2023-01-03 17:00:00+00:00,0.3138401559454191,0,0,0.368099074903014
2023-01-03 18:00:00+00:00,0.3541910331384015,0,0,0.3597433601909877
2023-01-03 19:00:00+00:00,0.3968810916179337,0,0,0.3569083855565503
2023-01-03 20:00:00+00:00,0.4499025341130604,0,0,0.3573560131304088
2023-01-03 21:00:00+00:00,0.4964912280701754,0,0,0.3512384362876753
2023-01-03 22:00:00+00:00,0.5460038986354776,0,0,0.3473589973142345
