,bus,type,carrier,e_nom,e_nom_mod,e_nom_extendable,e_nom_min,e_nom_max,e_nom_set,e_min_pu,e_max_pu,e_initial,e_initial_per_period,e_cyclic,e_cyclic_per_period,p_set,q_set,e_set,sign,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,standing_loss,active,build_year,lifetime,e_nom_opt,country,node,heat_load
FR1 0 residential rural water tanks-2030,FR1 0 residential rural water tanks,,residential rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009634570963640642,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.9732827981855099,FR,FR1 0,residential rural heat
FR1 0 services rural water tanks-2030,FR1 0 services rural water tanks,,services rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010038970238519618,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.6975486394672894,FR,FR1 0,services rural heat
FR1 0 residential urban decentral water tanks-2030,FR1 0 residential urban decentral water tanks,,residential urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009685527667548616,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.9327740553984606,FR,FR1 0,residential urban decentral heat
FR1 0 services urban decentral water tanks-2030,FR1 0 services urban decentral water tanks,,services urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010338627565924545,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,0.6830259533632512,FR,FR1 0,services urban decentral heat
FR1 0 urban central water tanks-2030,FR1 0 urban central water tanks,,urban central water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010527365682886676,0.0,0.0,51.13948964357274,,,0.0,0.0002314546917104865,True,2030,25.0,233981.70956822837,FR,FR1 0,urban central heat
