name,bus,bus0,bus1,bus2,bus3,bus4,efficiency,efficiency2,efficiency3,efficiency4,carrier,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,urban central heat_fraction,services urban decentral heat_fraction,services rural heat_fraction,residential rural heat_fraction,residential urban decentral heat_fraction
FR1 0 offwind-ac-2030,FR1 0,,,,,,1.0,,,,offwind-ac,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,24631.593829930087,0.0,0.0,0.0,0.0,0.0
FR1 0 offwind-dc-2030,FR1 0,,,,,,1.0,,,,offwind-dc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,4617.909521458745,0.0,0.0,0.0,0.0,0.0
FR1 0 onwind-2030,FR1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,12806.615359672827,0.0,0.0,0.0,0.0,0.0
FR1 0 ror,FR1 0,,,,,,0.9,,,,ror,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,6870.649149421663,0.0,0.0,0.0,0.0,0.0
FR1 0 solar-2030,FR1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,14825.57346058418,0.0,0.0,0.0,0.0,0.0
FR1 0 oil,FR1 0 oil,,,,,,1.0,,,,oil,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,71710.69245556266,0.0,0.0,0.0,0.0,0.0
FR1 0 gas,FR1 0 gas,,,,,,1.0,,,,gas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,104414.45841838072,0.0,0.0,0.0,0.0,0.0
FR1 0 residential rural solar thermal collector-2030,FR1 0 residential rural heat,,,,,,1.0,,,,residential rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1543751922639175,0.0,0.0,0.0,0.0,0.0
FR1 0 services rural solar thermal collector-2030,FR1 0 services rural heat,,,,,,1.0,,,,services rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1540921093770862,0.0,0.0,0.0,0.0,0.0
FR1 0 residential urban decentral solar thermal collector-2030,FR1 0 residential urban decentral heat,,,,,,1.0,,,,residential urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1630304285055846,0.0,0.0,0.0,0.0,0.0
FR1 0 services urban decentral solar thermal collector-2030,FR1 0 services urban decentral heat,,,,,,1.0,,,,services urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1610457915361332,0.0,0.0,0.0,0.0,0.0
FR1 0 urban central solar thermal collector-2030,FR1 0 urban central heat,,,,,,1.0,,,,urban central solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.3047409399121238,0.0,0.0,0.0,0.0,0.0
FR1 0 solar rooftop-2030,FR1 0 low voltage,,,,,,1.0,,,,solar rooftop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,62597.56033094427,0.0,0.0,0.0,0.0,0.0
FR1 0  onwind-2005,FR1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,652.0,0.0,0.0,0.0,0.0,0.0
FR1 0  onwind-2010,FR1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,5222.0,0.0,0.0,0.0,0.0,0.0
FR1 0  solar-2010,FR1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1031.0,0.0,0.0,0.0,0.0,0.0
FR1 0  onwind-2015,FR1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,4386.18,0.0,0.0,0.0,0.0,0.0
FR1 0  solar-2015,FR1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,6093.52,0.0,0.0,0.0,0.0,0.0
FR1 0  onwind-2020,FR1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,7213.82,0.0,0.0,0.0,0.0,0.0
FR1 0  solar-2020,FR1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,4674.68,0.0,0.0,0.0,0.0,0.0
FR1 0  offwind-ac-2025,FR1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,480.0,0.0,0.0,0.0,0.0,0.0
FR1 0  onwind-2025,FR1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,3125.98,0.0,0.0,0.0,0.0,0.0
FR1 0  solar-2025,FR1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,5224.77,0.0,0.0,0.0,0.0,0.0
FR1 0 load,FR1 0,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 oil load,FR1 0 oil,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 co2 stored load,FR1 0 co2 stored,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 co2 sequestered load,FR1 0 co2 sequestered,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 gas load,FR1 0 gas,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 H2 load,FR1 0 H2,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 battery load,FR1 0 battery,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 EV battery load,FR1 0 EV battery,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 land transport oil load,FR1 0 land transport oil,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 residential rural heat load,FR1 0 residential rural heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 residential rural water tanks load,FR1 0 residential rural water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 services rural heat load,FR1 0 services rural heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 services rural water tanks load,FR1 0 services rural water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 residential urban decentral heat load,FR1 0 residential urban decentral heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 residential urban decentral water tanks load,FR1 0 residential urban decentral water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 services urban decentral heat load,FR1 0 services urban decentral heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 services urban decentral water tanks load,FR1 0 services urban decentral water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 urban central heat load,FR1 0 urban central heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 urban central water tanks load,FR1 0 urban central water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 biogas load,FR1 0 biogas,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 solid biomass load,FR1 0 solid biomass,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 solid biomass for industry load,FR1 0 solid biomass for industry,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 gas for industry load,FR1 0 gas for industry,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 shipping methanol load,FR1 0 shipping methanol,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
FR1 0 shipping oil load,FR1 0 shipping oil,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
