name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt
FR1 0 PHS,FR1 0,,,5236.3,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,PHS,0.0,0.009609536146822195,0.0,0.0,182698.73459185107,,,0.0,True,0,inf,0.0,False,,True,False,16.06328008773364,0.8660254037844386,0.8660254037844386,0.0,0.0,5236.3
FR1 0 hydro,FR1 0,,,8573.49299363057,0.0,False,0.0,inf,,0.0,1.0,,0.0,,,1.0,hydro,0.0,0.009796371363835963,0.0,0.0,182698.73459185107,,,0.0,True,0,inf,0.0,False,,True,False,1143.058028656538,0.0,0.9,0.0,0.0,8573.49299363057
