,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,FLAMANVILLE 3,1675.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHOOZ 2,1500.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHOOZ 1,1500.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIVAUX 2,1495.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIVAUX 1,1495.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 2,1335.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST ALBAN 1,1335.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENLY 2,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 1,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENLY 1,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 4,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 2,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAMANVILLE 2,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 3,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALUEL 1,1330.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BELLEVILLE 2,1310.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BELLEVILLE 1,1310.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOLFECH 2,1310.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOLFECH 1,1310.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOGENT 1,1310.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOGENT 2,1310.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 1,1300.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 4,1300.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 3,1300.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATTENOM 2,1300.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 1,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 2,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST LAURENT 2,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRUAS 4,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRUAS 3,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRUAS 2,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 4,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRUAS 1,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ST LAURENT 1,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRICASTIN 3,915.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 4,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 3,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 1,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 2,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLAYAIS 3,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLAYAIS 2,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BUGEY 3,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLAYAIS 4,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLAYAIS 1,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 6,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BUGEY 2,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAVELINES 5,910.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHINON 1,905.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHINON 4,905.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHINON 3,905.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHINON 2,905.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 1,890.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 2,890.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 4,890.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAMPIERRE 3,890.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BUGEY 5,880.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BUGEY 4,880.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RANCE,240.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_AFD7_BARBAN_SAUCATS,105.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CYCOFOS TV2,62.0,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FESSENHEIM 2,,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FESSENHEIM 1,,1.0,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HAVRE 4,,1.0,HR,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
