index,CH -> FR,CH -> IT,CH -> AT,CH -> DE
2018-01-01 03:00:00+0000,0.0,1464.0,0.0,362.0
2018-01-01 04:00:00+0000,0.0,913.0,0.0,256.0
2018-01-01 05:00:00+0000,47.0,956.0,0.0,344.0
2018-01-01 06:00:00+0000,0.0,820.0,0.0,332.0
2018-01-01 07:00:00+0000,0.0,744.0,0.0,329.0
2018-01-01 08:00:00+0000,0.0,729.0,0.0,321.0
2018-01-01 09:00:00+0000,94.0,642.0,0.0,369.0
2018-01-01 10:00:00+0000,653.0,577.0,0.0,417.0
2018-01-01 11:00:00+0000,804.0,421.0,0.0,478.0
2018-01-01 12:00:00+0000,973.0,308.0,0.0,467.0
2018-01-01 13:00:00+0000,0.0,0.0,0.0,144.0
2018-01-01 14:00:00+0000,0.0,0.0,115.0,85.0
2018-01-01 15:00:00+0000,0.0,0.0,171.0,140.0
2018-01-01 16:00:00+0000,0.0,84.0,0.0,228.0
2018-01-01 17:00:00+0000,0.0,1109.0,19.0,262.0
2018-01-01 18:00:00+0000,0.0,1440.0,0.0,279.0
2018-01-01 19:00:00+0000,0.0,2007.0,0.0,361.0
2018-01-01 20:00:00+0000,0.0,2441.0,0.0,353.0
2018-01-01 21:00:00+0000,0.0,1679.0,0.0,305.0
2018-01-01 22:00:00+0000,0.0,1094.0,0.0,265.0
2018-01-01 23:00:00+0000,0.0,929.0,0.0,186.0
2018-01-02 00:00:00+0000,0.0,625.0,0.0,168.0
2018-01-02 01:00:00+0000,0.0,483.0,0.0,142.0
2018-01-02 02:00:00+0000,0.0,673.0,0.0,194.0
2018-01-02 03:00:00+0000,0.0,965.0,0.0,191.0
2018-01-02 04:00:00+0000,0.0,1696.0,0.0,205.0
2018-01-02 05:00:00+0000,0.0,2294.0,0.0,311.0
2018-01-02 06:00:00+0000,0.0,3267.0,0.0,376.0
2018-01-02 07:00:00+0000,0.0,3344.0,0.0,431.0
2018-01-02 08:00:00+0000,0.0,3182.0,0.0,414.0
2018-01-02 09:00:00+0000,0.0,2845.0,0.0,418.0
2018-01-02 10:00:00+0000,0.0,2471.0,0.0,448.0
