index,UA -> PL,UA -> RO,UA -> SK,UA -> HU
2022-01-01 03:00:00+0000,0.0,67.0,0.0,136.0
2022-01-01 04:00:00+0000,0.0,53.0,0.0,140.0
2022-01-01 05:00:00+0000,0.0,15.0,0.0,137.0
2022-01-01 06:00:00+0000,0.0,0.0,0.0,194.0
2022-01-01 07:00:00+0000,0.0,0.0,0.0,179.0
2022-01-01 08:00:00+0000,0.0,0.0,0.0,135.0
2022-01-01 09:00:00+0000,0.0,0.0,22.0,81.0
2022-01-01 10:00:00+0000,0.0,0.0,97.0,25.0
2022-01-01 11:00:00+0000,0.0,0.0,78.0,60.0
2022-01-01 12:00:00+0000,0.0,0.0,115.0,107.0
2022-01-01 13:00:00+0000,0.0,0.0,68.0,132.0
2022-01-01 14:00:00+0000,0.0,0.0,0.0,124.0
2022-01-01 15:00:00+0000,0.0,0.0,0.0,138.0
2022-01-01 16:00:00+0000,0.0,0.0,0.0,191.0
2022-01-01 17:00:00+0000,0.0,0.0,0.0,197.0
2022-01-01 18:00:00+0000,0.0,0.0,0.0,218.0
2022-01-01 19:00:00+0000,0.0,24.0,0.0,157.0
2022-01-01 20:00:00+0000,0.0,51.0,0.0,187.0
2022-01-01 21:00:00+0000,0.0,15.0,0.0,221.0
2022-01-01 22:00:00+0000,0.0,0.0,0.0,134.0
2022-01-01 23:00:00+0000,84.0,53.0,0.0,191.0
2022-01-02 00:00:00+0000,118.0,38.0,0.0,194.0
2022-01-02 01:00:00+0000,141.0,4.0,0.0,175.0
2022-01-02 02:00:00+0000,143.0,0.0,0.0,170.0
2022-01-02 03:00:00+0000,142.0,0.0,0.0,167.0
2022-01-02 04:00:00+0000,142.0,0.0,0.0,173.0
2022-01-02 05:00:00+0000,142.0,0.0,0.0,230.0
2022-01-02 06:00:00+0000,143.0,0.0,0.0,309.0
2022-01-02 07:00:00+0000,146.0,3.0,0.0,298.0
2022-01-02 08:00:00+0000,143.0,57.0,0.0,266.0
2022-01-02 09:00:00+0000,144.0,172.0,0.0,221.0
2022-01-02 10:00:00+0000,144.0,255.0,0.0,151.0
2022-01-02 11:00:00+0000,143.0,285.0,0.0,133.0
2022-01-02 12:00:00+0000,139.0,350.0,0.0,96.0
2022-01-02 13:00:00+0000,143.0,400.0,0.0,123.0
2022-01-02 14:00:00+0000,141.0,431.0,0.0,73.0
2022-01-02 15:00:00+0000,144.0,469.0,0.0,87.0
2022-01-02 16:00:00+0000,143.0,440.0,0.0,148.0
2022-01-02 17:00:00+0000,140.0,411.0,0.0,142.0
2022-01-02 18:00:00+0000,143.0,391.0,0.0,173.0
2022-01-02 19:00:00+0000,141.0,282.0,0.0,229.0
2022-01-02 20:00:00+0000,142.0,221.0,0.0,241.0
2022-01-02 21:00:00+0000,140.0,187.0,0.0,302.0
2022-01-02 22:00:00+0000,141.0,115.0,0.0,212.0
2022-01-02 23:00:00+0000,142.0,51.0,0.0,208.0
2022-01-03 00:00:00+0000,138.0,20.0,0.0,184.0
2022-01-03 01:00:00+0000,140.0,56.0,0.0,148.0
2022-01-03 02:00:00+0000,137.0,67.0,0.0,149.0
2022-01-03 03:00:00+0000,141.0,112.0,0.0,171.0
2022-01-03 04:00:00+0000,141.0,165.0,0.0,247.0
2022-01-03 05:00:00+0000,139.0,245.0,0.0,317.0
2022-01-03 06:00:00+0000,143.0,269.0,0.0,332.0
2022-01-03 07:00:00+0000,142.0,291.0,0.0,327.0
2022-01-03 08:00:00+0000,143.0,237.0,0.0,346.0
2022-01-03 09:00:00+0000,143.0,224.0,0.0,336.0
2022-01-03 10:00:00+0000,143.0,226.0,0.0,344.0
2022-01-03 11:00:00+0000,143.0,257.0,0.0,332.0
2022-01-03 12:00:00+0000,143.0,220.0,0.0,313.0
2022-01-03 13:00:00+0000,143.0,231.0,0.0,320.0
2022-01-03 14:00:00+0000,144.0,183.0,0.0,303.0
2022-01-03 15:00:00+0000,143.0,228.0,0.0,309.0
2022-01-03 16:00:00+0000,144.0,246.0,0.0,338.0
2022-01-03 17:00:00+0000,141.0,231.0,0.0,373.0
2022-01-03 18:00:00+0000,143.0,223.0,0.0,392.0
2022-01-03 19:00:00+0000,140.0,179.0,0.0,431.0
2022-01-03 20:00:00+0000,143.0,145.0,0.0,447.0
2022-01-03 21:00:00+0000,143.0,82.0,0.0,468.0
2022-01-03 22:00:00+0000,143.0,68.0,0.0,497.0
2022-01-03 23:00:00+0000,142.0,108.0,0.0,351.0
2022-01-04 00:00:00+0000,143.0,73.0,0.0,328.0
2022-01-04 01:00:00+0000,143.0,65.0,0.0,295.0
2022-01-04 02:00:00+0000,142.0,81.0,0.0,256.0
2022-01-04 03:00:00+0000,143.0,108.0,0.0,259.0
2022-01-04 04:00:00+0000,142.0,269.0,0.0,332.0
2022-01-04 05:00:00+0000,138.0,286.0,0.0,316.0
2022-01-04 06:00:00+0000,139.0,292.0,0.0,235.0
2022-01-04 07:00:00+0000,139.0,302.0,0.0,207.0
2022-01-04 08:00:00+0000,138.0,253.0,0.0,177.0
2022-01-04 09:00:00+0000,139.0,260.0,0.0,175.0
2022-01-04 10:00:00+0000,140.0,207.0,0.0,194.0
2022-01-04 11:00:00+0000,143.0,212.0,0.0,196.0
2022-01-04 12:00:00+0000,143.0,211.0,0.0,199.0
2022-01-04 13:00:00+0000,142.0,231.0,0.0,190.0
2022-01-04 14:00:00+0000,139.0,206.0,0.0,196.0
2022-01-04 15:00:00+0000,140.0,242.0,0.0,191.0
2022-01-04 16:00:00+0000,141.0,213.0,0.0,216.0
2022-01-04 17:00:00+0000,143.0,200.0,0.0,251.0
2022-01-04 18:00:00+0000,143.0,174.0,0.0,247.0
2022-01-04 19:00:00+0000,144.0,102.0,0.0,280.0
2022-01-04 20:00:00+0000,144.0,69.0,0.0,316.0
2022-01-04 21:00:00+0000,143.0,51.0,0.0,354.0
2022-01-04 22:00:00+0000,142.0,14.0,0.0,411.0
2022-01-04 23:00:00+0000,143.0,12.0,0.0,479.0
2022-01-05 00:00:00+0000,143.0,0.0,0.0,529.0
2022-01-05 01:00:00+0000,143.0,0.0,0.0,513.0
2022-01-05 02:00:00+0000,143.0,0.0,0.0,468.0
2022-01-05 03:00:00+0000,145.0,1.0,0.0,451.0
2022-01-05 04:00:00+0000,143.0,169.0,0.0,392.0
2022-01-05 05:00:00+0000,144.0,201.0,0.0,368.0
2022-01-05 06:00:00+0000,139.0,102.0,0.0,419.0
2022-01-05 07:00:00+0000,141.0,90.0,0.0,439.0
2022-01-05 08:00:00+0000,140.0,0.0,0.0,450.0
2022-01-05 09:00:00+0000,139.0,0.0,0.0,457.0
2022-01-05 10:00:00+0000,141.0,0.0,0.0,435.0
2022-01-05 11:00:00+0000,141.0,0.0,0.0,428.0
2022-01-05 12:00:00+0000,140.0,0.0,0.0,405.0
2022-01-05 13:00:00+0000,141.0,2.0,0.0,427.0
2022-01-05 14:00:00+0000,141.0,42.0,0.0,399.0
2022-01-05 15:00:00+0000,141.0,179.0,0.0,345.0
2022-01-05 16:00:00+0000,144.0,193.0,0.0,370.0
2022-01-05 17:00:00+0000,142.0,186.0,0.0,374.0
2022-01-05 18:00:00+0000,141.0,185.0,0.0,423.0
2022-01-05 19:00:00+0000,141.0,132.0,0.0,451.0
2022-01-05 20:00:00+0000,142.0,116.0,0.0,444.0
2022-01-05 21:00:00+0000,142.0,141.0,0.0,490.0
2022-01-05 22:00:00+0000,140.0,85.0,0.0,500.0
2022-01-05 23:00:00+0000,143.0,127.0,0.0,507.0
2022-01-06 00:00:00+0000,143.0,125.0,0.0,501.0
2022-01-06 01:00:00+0000,141.0,99.0,0.0,461.0
2022-01-06 02:00:00+0000,141.0,114.0,0.0,442.0
2022-01-06 03:00:00+0000,144.0,128.0,0.0,448.0
2022-01-06 04:00:00+0000,144.0,131.0,0.0,412.0
2022-01-06 05:00:00+0000,140.0,97.0,0.0,473.0
2022-01-06 06:00:00+0000,140.0,98.0,0.0,485.0
2022-01-06 07:00:00+0000,145.0,15.0,0.0,524.0
