00:00 - 01:00,263,,n/e,n/e,n/e,n/e,112,,219,,19,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,132,,942,,583,
01:00 - 02:00,258,,n/e,n/e,n/e,n/e,114,,231,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,120,,1097,,887,
02:00 - 03:00,286,,n/e,n/e,n/e,n/e,110,,223,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,118,,1260,,1233,
03:00 - 04:00,335,,n/e,n/e,n/e,n/e,118,,230,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,119,,1084,,1287,
04:00 - 05:00,367,,n/e,n/e,n/e,n/e,117,,228,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,118,,978,,1309,
05:00 - 06:00,352,,n/e,n/e,n/e,n/e,115,,231,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,118,,789,,1375,
06:00 - 07:00,374,,n/e,n/e,n/e,n/e,115,,226,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,118,,804,,1345,
07:00 - 08:00,287,,n/e,n/e,n/e,n/e,115,,226,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,118,,839,,1354,
08:00 - 09:00,207,,n/e,n/e,n/e,n/e,114,,225,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,121,,912,,1563,
09:00 - 10:00,212,,n/e,n/e,n/e,n/e,113,,225,,20,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,120,,1164,,1974,
