Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
NL1 0 offwind-ac-2030,3218.2522633331428,1,NL,,,WTOF,WIN,1.0000000000000002,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 offwind-dc-2030,28305.740897662465,1,NL,,,WTOF,WIN,1.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 onwind-2030,1901.504862940572,1,NL,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 solar-2030,0.2062055824517125,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 oil,388766.7462297119,1,NL,,,STUR,OIL,1.0,8.0,6.0,0.0025693731,0.0025693731,35280.965,0.0,0.0,0.3,0.41,7.0,0.79,,,,,,,,,,,,,,,,,,,,
NL1 0 solar rooftop-2030,15310.617197951557,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  solar-2000,13.0,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  onwind-2005,777.0,1,NL,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  solar-2005,38.0,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  onwind-2010,785.0,1,NL,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  solar-2010,39.0,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  onwind-2015,1024.84,1,NL,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  solar-2015,1436.26,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  onwind-2020,1209.66,1,NL,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  solar-2020,9582.17,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  onwind-2025,1987.62,1,NL,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0  solar-2025,7740.259999999998,1,NL,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 OCGT-2030,33.272038943840464,1,NL,,,GTUR,GAS,0.41,0.0,0.0,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.2,0.425,0.166666666666667,0.65,,,,,,,,,,,,,,,,,,,,
NL1 0 CCGT-2030,0.2713340140350274,1,NL,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
NL1 0 nuclear-2030,0.0603814382866093,1,NL,,,STUR,NUC,0.326,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
NL1 0 H2 Fuel Cell-2030,0.3677935024736082,1,NL,,,ICEN,HYD,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.7,,,,,,,,,,,,,,,,,,,,
NL1 0 H2 turbine-2030,0.5100082296059795,1,NL,,,GTUR,HYD,0.397,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.65,,,,,,,,,,,,,,,,,,,,
NL1 0 urban central gas CHP CC-2030,0.8458688789867029,1,NL,,,ICEN,GAS,0.3882199999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.7,,,,,,,,,,,,,,,,,,,,
