,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Beveren Ineos Phenolchemie,23.8,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,BUTGENBACH,1.8,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,COO I T,474.0,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,50.382540000000006,5.84414
,COO II T,690.0,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,50.382540000000006,5.84414
,DROGENBOS DM 51,2.5,1.0,BE,,,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,50.80244,4.30072
,DROGENBOS DM 52,2.5,1.0,BE,,,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,50.80244,4.30072
,La Vierre,1.9,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Lanaken Sappi,43.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Oorderen Bayer,43.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Oud-Lillo Monsanto,43.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Scheldelaan Exxonmobil,140.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Wilrijk Isvag,12.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Zeebrugge 2 Fluxys,40.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrabel,,
,Electrawinds biomassa Oostende,18.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrawinds Distributie,,
,Greenpower Oostende,20.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Electrawinds Distributie,,
,Eurosilo,12.9,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Lampiris,,
,Incinerateur THUMAIDE (IPALLE),34.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Lampiris,,
,Intradel Herstal,34.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Lampiris,,
,IVBO,16.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Lampiris,,
,PLATE-TAILLE T,144.0,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Lampiris,,
,ANGLEUR TG31,25.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,,
,ANGLEUR TG32,25.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,,
,Beveren 2 Indaver,21.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,,
,Beveren 3 Indaver,24.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,,
,Beveren Sleco,41.0,1.0,BE,,,,Non-renewable waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,,
,EDF Luminus Izegem WKK,20.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,,
,HU AMPSIN-NEUVILLE,9.9,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,50.53381,5.29636
,HU ANDENNE,9.0,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,50.49179,5.06975
,HU FLORIFFOUX,0.8,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,50.44663,4.77389
,HU GRAND-MALADES,5.0,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,50.46595,4.89928
,HU IVOZ-RAMET,10.0,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,50.59349,5.46137
,HU LIXHE,20.0,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,50.75178,5.6878
,HU MONSIN,19.7,1.0,BE,,,,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,50.65317,5.63137
,SERAING TV,170.0,1.0,BE,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#,Luminus,,
,AL-1,62.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.38811,5.2154
,AL-2,55.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.38811,5.2154
,Amylum,7.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,AMYLUM NEDERLAND B.V.,52.46552,4.81361
,BOZ,33.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.50555,4.339980000000001
,Centrale Bergum (CB10),72.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ELECTRABEL NEDERLAND NV,53.20975,6.02959
,Centrale Bergum (CB20),72.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ELECTRABEL NEDERLAND NV,53.20975,6.02959
,Centrale Diemen (DM33),249.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.33898,5.02134
,Centrale Diemen (DM34),435.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,VATTENFALL ENERGY TRADING,52.33898,5.02134
,Centrale Galileistraat (FG1),0.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,EON BENELUX,51.91025,4.426080000000001
,Centrale Harculo (HC60),0.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ELECTRABEL NEDERLAND NV,52.46907,6.10767
,Centrale Hemweg (HW-7),585.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.40537,4.84482
,Centrale Hemweg (HW-9),432.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUONENW,52.40537,4.84482
,Centrale IJmond,144.0,1.0,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.47155,4.63473
,Centrale Lage Weide,247.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.102920000000005,5.07137
,Centrale Merwedekanaal,227.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.10156,5.07981
,Centrale RoCa (RoCa3),218.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,EON BENELUX,51.95366,4.56155
,Centrale Swentibold,225.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,50.97971,5.80891
,Centrale Velsen (VN24),459.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.47155,4.63473
,Centrale Velsen (VN25),375.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,NUON,52.47155,4.63473
,Clauscentrale (A),640.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.15409,5.90803
,Clauscentrale (C1),310.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.15409,5.90803
,Clauscentrale (C2),310.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.15409,5.90803
,Clauscentrale (C3),310.0,1.0,NL,,,,Natural gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tennet.org/english/operational_management/export_data.aspx,ESSENT ENERGY TRADING B.V.,51.15409,5.90803
