index,CZ -> SK,CZ -> AT,CZ -> DE,CZ -> PL
2015-01-01 03:00:00+0000,1147.0,2249.0,591.0,0.0
2015-01-01 04:00:00+0000,1179.0,2251.0,614.0,0.0
2015-01-01 05:00:00+0000,1032.0,2165.0,626.0,0.0
2015-01-01 06:00:00+0000,1056.0,2187.0,657.0,0.0
2015-01-01 07:00:00+0000,1074.0,2230.0,644.0,0.0
2015-01-01 08:00:00+0000,1178.0,2349.0,689.0,0.0
2015-01-01 09:00:00+0000,1306.0,2402.0,665.0,0.0
2015-01-01 10:00:00+0000,1356.0,2411.0,652.0,0.0
2015-01-01 11:00:00+0000,1305.0,2359.0,659.0,0.0
2015-01-01 12:00:00+0000,1315.0,2312.0,634.0,0.0
2015-01-01 13:00:00+0000,1376.0,2287.0,578.0,0.0
2015-01-01 14:00:00+0000,1469.0,2309.0,539.0,0.0
2015-01-01 15:00:00+0000,1567.0,2294.0,557.0,0.0
2015-01-01 16:00:00+0000,1593.0,2421.0,629.0,0.0
2015-01-01 17:00:00+0000,1511.0,2391.0,658.0,0.0
2015-01-01 18:00:00+0000,1469.0,2424.0,672.0,0.0
2015-01-01 19:00:00+0000,1409.0,2287.0,612.0,0.0
2015-01-01 20:00:00+0000,1499.0,2410.0,613.0,0.0
2015-01-01 21:00:00+0000,1407.0,2435.0,630.0,0.0
2015-01-01 22:00:00+0000,1316.0,2371.0,651.0,0.0
2015-01-01 23:00:00+0000,1307.0,2444.0,806.0,0.0
2015-01-02 00:00:00+0000,1215.0,2308.0,799.0,0.0
2015-01-02 01:00:00+0000,1093.0,2081.0,646.0,3.0
2015-01-02 02:00:00+0000,1115.0,1945.0,633.0,36.0
2015-01-02 03:00:00+0000,1238.0,2008.0,679.0,33.0
2015-01-02 04:00:00+0000,1320.0,2076.0,710.0,0.0
2015-01-02 05:00:00+0000,1439.0,2179.0,663.0,0.0
2015-01-02 06:00:00+0000,1477.0,2271.0,673.0,0.0
2015-01-02 07:00:00+0000,1526.0,2187.0,608.0,0.0
2015-01-02 08:00:00+0000,1635.0,2239.0,598.0,0.0
2015-01-02 09:00:00+0000,1545.0,2235.0,602.0,0.0
2015-01-02 10:00:00+0000,1546.0,2217.0,616.0,0.0
