index,BE -> FR,DE -> RoW,DE -> FR,FR -> RoW,UK -> BE,UK -> NL,FR -> UK,RoW -> UK,RoW -> NL,DE -> NL,BE -> UK,BE -> NL,RoW -> FR,DE -> UK,UK -> FR,UK -> DE,FR -> NL,BE -> RoW,NL -> DE,NL -> RoW,UK -> RoW,RoW -> BE,NL -> UK,RoW -> DE,FR -> DE,NL -> BE,BE -> DE,NL -> FR,FR -> BE,DE -> BE
2030-01-01 00:00:00,,,,,1349.64066143731,0.5661549668296679,,,,,,,,,30708.648254408672,0.372585905430769,,,2887.36785356757,,,,,,1213.97309306251,2388.06149877455,,,1738.58649522835,1047.30299052984
2030-01-01 01:00:00,,,,,1349.63252266018,0.546645020084072,,,,,,,,,32093.00861141273,249.536813548817,,,2879.97303305578,,,,,,1547.35295693531,2383.05004540933,,,2216.03513928914,0.41110302453117
2030-01-01 02:00:00,,,,,1349.90538974441,137.8028682414124,,,,,,,,,33917.18062362774,1889.91218232231,,,2869.58986367959,,,,,,1468.47945935564,2374.33255707125,,,2103.07645144243,0.1521682787999
2030-01-01 03:00:00,2308.90495291599,,1623.15376670675,,1349.958947419,2664.4797311339416,,,,,,,,,33918.369740369344,1889.91319426774,,,4830.15815293937,,,,,,,4026.22807982135,,,,1349.79843691679
2030-01-01 04:00:00,1697.62152709425,,1185.37045054961,,1349.9825335339,5939.89343859952,,,,,,,,,33918.53124704624,1889.97507463434,,,2814.59268009528,,,,,,,2327.39745280295,,,,1349.8762915099
2030-01-01 05:00:00,1411.54020725565,,985.613233373147,,1349.9819014798,5939.8862781593,,,,,,,,,33918.51998430628,1889.9733986424,,,2793.73004020742,,,,,,,2309.9617075099,,,,1349.87707489107
2030-01-01 06:00:00,,,,,1349.97853710639,5939.87971958196,,,,,,,,,33918.50627063404,1889.97710364735,,,2745.63023314154,,,,,,841.30156902367,2270.90131846785,,,1204.86667014774,0.174375272014238
2030-01-01 07:00:00,,,,,1349.99421717334,5939.97369958118,,,,,,,,,33918.776513633886,1889.99282380792,,,2716.40661236756,,,,,,861.366214371957,2247.47862060584,,,1233.60215395713,0.186757573111231
2030-01-01 08:00:00,,,,,1349.99427876403,5939.972448263199,,,,,,,,,33918.77623957445,1889.99278919585,,,2709.2685240854,,,,,,165.23100980097,2241.78849412411,,,236.635597902329,864.600619671462
2030-01-01 09:00:00,1181.12808111424,,824.727199330102,,1349.99439713339,5939.97229924276,,,,,,,,,33918.77497762073,1889.99257167761,,,2702.82172506363,,,,,,,2236.87302515895,,,,1349.87730067139
2030-01-01 10:00:00,946.259016163866,,660.729154079141,,1349.99442612319,5939.9722994763,,,,,,,,,33918.775131486276,1889.99255659066,,,2656.13222697358,,,,,,,2197.6841446682,,,,1349.87933241732
2030-01-01 11:00:00,1644.16491300287,,1148.0442073961,,1349.99433043866,5939.9723501709595,,,,,,,,,33918.775255910245,1889.99271627225,,,2697.18308319097,,,,,,,2232.17031942763,,,,1279.86400814055
2030-01-01 12:00:00,2297.88235627613,,1604.50455458941,,1349.99424538147,5939.97233173154,,,,,,,,,33918.77463124915,1889.99277399641,,,4632.35324728334,,,,,,,3861.3016640592,,,,0.184942506547114
2030-01-01 13:00:00,2372.97684089712,,1656.93952560827,,1349.99428080389,5939.97263357238,,,,,,,,,33918.77595362483,1889.99275399281,,,4965.87989650168,,,,,,,4142.69644045588,,,,0.183301777478574
2030-01-01 14:00:00,,,,,1349.97872311987,5939.86660424442,,,,,,,,,33918.52238668303,1889.9799567129,,,5059.91022223458,,,,,,1633.20504019308,4221.50041141676,,,2338.98715376723,0.068772175714824
2030-01-01 15:00:00,,,,,3.36190664484725,5939.71025941266,,,,,,,,,22823.547311718747,1889.98426189686,,,6217.17135863833,,,,,,1740.028226874,5195.674759689,,,2474.56398221393,0.0108692539007644
2030-01-01 16:00:00,,,,,0.197250490703807,5939.30791618856,,,,,,,,,8447.70229372178,1889.98399030184,,,6652.11573258307,,,,,,1635.43433983484,5563.7713532158,,,2340.92098041022,0.010364199998393
2030-01-01 17:00:00,,,,,1.20320273395788,5939.341393660419,,,,,,,,,13287.179641706089,1889.98409106708,,,6684.98823023475,,,,,,1671.83424612196,5590.48246558762,,,2392.88462624846,0.0109047133348458
2030-01-01 18:00:00,,,,,0.10763806876364,5939.37070949324,,,,,,,,,14888.600339219323,1889.98433417672,,,6730.87432779236,,,,,,1672.15057519447,5629.76128614128,,,2395.88894924427,0.0095470507788763
2030-01-01 19:00:00,,,,,1024.88852857617,5938.76918016222,,,,,,,,,8364.574768256078,1889.97841814413,,,5348.43115213964,,,,,,1661.84066238243,4463.96027296782,,,2380.21371851033,0.014937177904231
2030-01-01 20:00:00,,,,,1349.93723461092,2.90767255761808,,,,,,,,,4310.90208358626,1889.95168922674,,,4182.58545418917,,,,,,1671.44990216323,3480.69154693199,,,2394.30255550726,0.0756612398594579
2030-01-01 21:00:00,,,,,1349.88806086198,2.942203921048938,,,,,,,,,14977.53147324066,1889.41315129854,,,2567.72029129633,,,,,,1625.29076764964,2132.59187362704,,,2327.65463936027,488.382982488858
2030-01-01 22:00:00,,,,,1349.85549944214,0.501860755006836,,,,,,,,,16824.282560904736,0.118247573704323,,,2897.77618388165,,,,,,639.464875832395,2395.2767349052,,,915.807316900408,1349.87480705643
2030-01-01 23:00:00,,,,,1349.84987857332,0.50511483479114,,,,,,,,,19250.591841715093,0.127155372983064,,,2383.29155139983,,,,,,997.668043816568,1987.08096449734,,,1428.80619087568,1349.86550744691
2030-01-02 00:00:00,,,,,1349.92607488063,0.2839190868511362,,,,,,,,,25177.612301455727,0.0572778057415322,,,2918.6869163516,,,,,,888.426962892158,2411.6403028736,,,1272.35715558251,1349.95775723186
2030-01-02 01:00:00,,,,,1349.96873030283,0.22953732662191179,,,,,,,,,20649.567548288644,0.0235492009241228,,,2847.98517099382,,,,,,854.603058601492,2355.37527119429,,,1223.91650739833,1349.9849459641
2030-01-02 02:00:00,,,,,1349.96230324278,0.2712982445889708,,,,,,,,,13679.31644508642,0.0294168091890194,,,2628.57430493361,,,,,,1158.92309007791,2180.52442683736,,,1659.74690845552,1349.98107575015
2030-01-02 03:00:00,69.0940149537733,,48.2458420629151,,1349.98190666352,0.2408879769010878,,,,,,,,,1761.6130068871887,0.0136305393772033,,,2295.83604028801,,,,,,,1914.79483841778,,,,1349.99144891643
2030-01-02 04:00:00,22.6119778315157,,15.7894389360707,,1349.98165626633,0.1254778012597074,,,,,,,,,6061.577091020623,0.0138941263609184,,,2867.57025116372,,,,,,,2369.26484957607,,,,1349.99114745169
2030-01-02 05:00:00,554.809916357192,,387.398434362395,,1349.98796106923,0.070423521833754,,,,,,,,,1987.8856813692141,0.008781772013207,,,3034.1497300556,,,,,,,2508.76132094543,,,,1349.9942927666
2030-01-02 06:00:00,892.160586775329,,622.954604606963,,1349.9797381212,0.052275120486541204,,,,,,,,,0.5733762082285486,0.0078641783389645,,,2884.95013429345,,,,,,,2381.94319268773,,,,1349.99351824093
2030-01-02 07:00:00,,,,,1349.972640199,0.066032909630485,,,,,,,,,2.0060464227022337,0.0144506776635924,,,3161.89094088231,,,,,,1364.02406256007,2616.24093990095,,,1953.48085702973,1349.98886838188
2030-01-02 08:00:00,,,,,1349.98628757282,0.1512356121888924,,,,,,,,,3.6075202666434016,0.0083974986871093,,,1477.22938000088,,,,,,779.10776411529,1232.05330519381,,,1115.79604085555,1349.99403727289
2030-01-02 09:00:00,,,,,1349.99051100573,0.1332325914762214,,,,,,,,,6507.180903718037,0.0063294499166948,,,816.706174611489,,,,,,139.891182601275,681.157448738447,,,200.345473764787,1349.99566511587
2030-01-02 10:00:00,,,,,1349.98985151018,0.11796574601681539,,,,,,,,,5505.008578995324,0.006793411796328,,,2083.30450837164,,,,,,157.194385105621,1737.53737706769,,,225.126170444944,1349.9953804136
2030-01-02 11:00:00,,,,,1349.99023918149,0.17408790830406462,,,,,,,,,13316.706479819115,0.0069579744133105,,,1849.51235684417,,,,,,1391.29851373679,1542.54852916567,,,1992.54320404401,1349.99538909296
2030-01-02 12:00:00,,,,,1349.99112056641,0.212626995293637,,,,,,,,,8212.453268567837,0.0073931329157966,,,2116.23906218121,,,,,,1358.73076104692,1765.00576642823,,,1945.92901567146,1349.99544308885
2030-01-02 13:00:00,,,,,1349.99232852071,5043.9638023786,,,,,,,,,11735.343053933022,0.0173222262010606,,,3890.17977207365,,,,,,1494.38695557599,3235.89402147862,,,2161.03055276165,1349.99424210094
2030-01-02 14:00:00,,,,,1349.96849195969,0.23075272150520182,,,,,,,,,26435.762008036054,1558.08294854984,,,5328.86980761604,,,,,,1268.91701693701,4450.02938135766,,,1817.28693687153,1349.94861270597
