Week,2023,Dispa-SET_Date
1,0.7273523703175281,2023-01-01 00:00:00+00:00
2,0.7122149028405942,2023-01-08 00:00:00+00:00
3,0.6751396078687545,2023-01-15 00:00:00+00:00
4,0.64777555824426,2023-01-22 00:00:00+00:00
5,0.6194571020164549,2023-01-29 00:00:00+00:00
6,0.5943442939506302,2023-02-05 00:00:00+00:00
7,0.5688507692698428,2023-02-12 00:00:00+00:00
8,0.541811291587786,2023-02-19 00:00:00+00:00
9,0.510685350793063,2023-02-26 00:00:00+00:00
10,0.4708589800749015,2023-03-05 00:00:00+00:00
11,0.4419178211841443,2023-03-12 00:00:00+00:00
12,0.4195001951327838,2023-03-19 00:00:00+00:00
13,0.387658201746761,2023-03-26 00:00:00+00:00
14,0.3552858254486565,2023-04-02 00:00:00+00:00
15,0.3412449686891423,2023-04-09 00:00:00+00:00
16,0.332740100790187,2023-04-16 00:00:00+00:00
17,0.3212105129505922,2023-04-23 00:00:00+00:00
18,0.3052971897590479,2023-04-30 00:00:00+00:00
19,0.3312416284047085,2023-05-07 00:00:00+00:00
20,0.3928774110329815,2023-05-14 00:00:00+00:00
21,0.4699115337732658,2023-05-21 00:00:00+00:00
22,0.5197556144309321,2023-05-28 00:00:00+00:00
23,0.5745326999397175,2023-06-04 00:00:00+00:00
24,0.6408481694188672,2023-06-11 00:00:00+00:00
25,0.7063460345807598,2023-06-18 00:00:00+00:00
26,0.7523611040433158,2023-06-25 00:00:00+00:00
27,0.7766836207024413,2023-07-02 00:00:00+00:00
28,0.8127272193453489,2023-07-09 00:00:00+00:00
29,0.8430910269177583,2023-07-16 00:00:00+00:00
30,0.849630395434021,2023-07-23 00:00:00+00:00
31,0.8498274631025097,2023-07-30 00:00:00+00:00
32,0.8943603317007706,2023-08-06 00:00:00+00:00
33,0.9068719032023054,2023-08-13 00:00:00+00:00
34,0.9126046823758782,2023-08-20 00:00:00+00:00
35,0.9062554344338328,2023-08-27 00:00:00+00:00
36,0.9067496554749728,2023-09-03 00:00:00+00:00
37,0.9089656728883532,2023-09-10 00:00:00+00:00
38,0.9536187024441846,2023-09-17 00:00:00+00:00
39,0.9742733646464142,2023-09-24 00:00:00+00:00
40,0.982486679111827,2023-10-01 00:00:00+00:00
41,1.0,2023-10-08 00:00:00+00:00
42,0.992618078381159,2023-10-15 00:00:00+00:00
43,0.964135427712321,2023-10-22 00:00:00+00:00
44,0.9471455822641688,2023-10-29 00:00:00+00:00
45,0.916411901355118,2023-11-05 00:00:00+00:00
46,0.8803066901746123,2023-11-12 00:00:00+00:00
47,0.8517998699572631,2023-11-19 00:00:00+00:00
48,0.8107414598055984,2023-11-26 00:00:00+00:00
49,0.7719133574779639,2023-12-03 00:00:00+00:00
50,0.7479107901700307,2023-12-10 00:00:00+00:00
51,0.7409350886624227,2023-12-17 00:00:00+00:00
52,0.7235253666477585,2023-12-24 00:00:00+00:00
53,0.6860622891000526,2023-12-31 00:00:00+00:00
54,0.648170248292187,2024-01-07 00:00:00+00:00
