electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,county,commissioning_date,site_name,se_vindbrukskollen_id,manufacturer
0.05,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE23,SE231,12.616258833426,56.9416282892679,Falkenberg,Hallands län,1983-01-01,735999224950737069 Tågarp 114,1382-V-018,
0.03,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE23,SE232,11.6619252763371,57.6996775607663,Öckerö,Västra Götalands län,1984-06-01,Pinan,1407-V-002,
0.02,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE22,SE224,13.2003910648961,55.4058093838419,Trelleborg,Skåne län,1984-12-31,Brunshill,1287-V-012,
0.05,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE21,SE214,18.7749587138502,57.7923763293287,Gotland,Gotlands län,1987-12-10,Norrvange,0980-V-065,
0.09,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE23,SE232,13.5366238798581,58.4592153062714,Götene,Västra Götalands län,1989-02-16,Erikstorp I,1471-V-007,
0.05,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE23,SE231,13.2825583124905,56.6069814318029,Laholm,Hallands län,1990-01-01,Mestocka VKV,1381-V-006,
0.22,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE22,SE224,13.1442206694456,55.7113581764672,Lund,Skåne län,1990-02-01,Värpinge,1281-V-014,Vestas
0.22,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE22,SE224,13.1449357594332,55.7102056032706,Lund,Skåne län,1990-02-01,Värpinge,1281-V-014,Vestas
0.15,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE21,SE214,18.2513112348714,57.1194220078611,Gotland,Gotlands län,1990-02-02,Näs Amfunds Snaigsto,0980-V-018,
0.15,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE21,SE214,18.2496530279547,57.1193195828935,Gotland,Gotlands län,1990-02-03,Näs Amfunds Snaigsto,0980-V-018,
0.01,Renewable energy,Wind,,Onshore,Vindbrukskollen,SE2,SE22,SE224,13.1339779068608,55.7401490109204,Lomma,Skåne län,1990-02-07,Månstorp,1262-V-003,
