index,DE -> RoW,NL -> RoW,RoW -> DE,NL -> FR,NL -> BE,RoW -> NL,UK -> RoW,UK -> BE,UK -> NL,UK -> DE,FR -> RoW,FR -> DE,BE -> RoW,RoW -> FR,FR -> NL,UK -> FR,RoW -> BE,BE -> UK,DE -> NL,DE -> FR,NL -> UK,BE -> DE,NL -> DE,FR -> BE,DE -> UK,BE -> NL,DE -> BE,FR -> UK,BE -> FR,RoW -> UK
2040-01-01 00:00:00,,,,,7698.37741593995,,,0.0467223229501095,0.100339321989346,2551.48490501682,,1957.86754507123,,,,45788.88487877248,,,,,,,9205.94506909627,2803.95091816969,,,0.0067494116888521,,,
2040-01-01 01:00:00,,,,,7086.9370307916,,,0.0467686020202653,0.1107850513075008,2551.48494162849,,2089.26684519039,,,,45788.88979167672,,,,,,,8481.75224942093,2992.13377205631,,,0.0067509669998869,,,
2040-01-01 02:00:00,,,,,7222.49631113592,,,0.043455863681071,0.1115289956981802,2551.48490345259,,2102.00882217044,,,,45788.887614468935,,,,,,,8642.37612329056,3010.38214514836,,,0.0067578233412155,,,
2040-01-01 03:00:00,,,,,5623.30251272797,,,1.26656699792007,0.2625366146670626,2551.48695542518,,2010.56599515237,,,,45789.86339917305,,,,,,,6740.44846569759,2879.42276517975,,,0.0067656996429819,,,
2040-01-01 04:00:00,,,,,3091.62680480042,,,1822.44248962264,0.833260641455642,2551.48693793739,,1431.23297508666,,,,45790.125135660506,,,,,,,3734.29466891876,2049.73347386435,,,0.0080790070076003,,,
2040-01-01 05:00:00,,,,,2924.70888946785,,,1822.44630762674,3699.72474252777,2551.48690884552,,2024.40460678841,,,,45790.12610322917,,,,,,,3536.2691444841,2899.24131397452,,,0.0081753247370913,,,
2040-01-01 06:00:00,,,,,3037.4690973279,,,1822.4473359334,5798.26446249104,2551.48718518031,,2085.9275730774,,,,45790.122588004204,,,,,,,3667.65707216073,2987.35117490561,,,0.0079174981195941,,,
2040-01-01 07:00:00,,,,,6907.01644377326,,,1822.4102142964,7839.35292790124,2551.48748643751,,,,,,45790.11525099863,,,,133.044354094611,,,8262.93887252997,,,,0.0070416841536416,,190.538532183826,
2040-01-01 08:00:00,,,,,2837.44513926781,,,1822.48000917527,8018.889861961041,2551.48943954805,,2248.23281984562,,,,45790.25187616364,,,,,,,3427.32707833179,3219.79578678168,,,0.0079815959017298,,,
2040-01-01 09:00:00,,,,,2832.51995599965,,,1822.48003215063,8018.922277699559,2551.49044934702,,2325.66418979785,,,,45790.24771176713,,,,,,,3420.36300448654,3330.68848383195,,,0.0065682823324828,,,
2040-01-01 10:00:00,,,,,2782.07848596708,,,1822.49607522664,8018.98400074886,2551.49476535369,,2283.6260567156,,,,45790.396024440524,,,,,,,3361.08265322135,3270.48380239343,,,0.0065954168150145,,,
2040-01-01 11:00:00,,,,,2824.85362467585,,,1822.49648005004,8018.9855008023405,2551.49501016826,,2286.23237791483,,,,45790.401902275924,,,,,,,3411.29237952083,3274.21643354654,,,0.0065832840235021,,,
2040-01-01 12:00:00,,,,,2882.34811310868,,,1822.49653186778,8018.98573857048,2551.49501485163,,2269.43332377189,,,,45790.40242557237,,,,,,,3481.94451112761,3250.1577581766,,,0.0067118550580609,,,
2040-01-01 13:00:00,,,,,3343.09877406153,,,1822.4960954437,8018.984021963201,2551.49475429443,,2240.71047378628,,,,45790.396473273926,,,,,,,4031.10438880711,3209.02243387808,,,0.0066530473895927,,,
2040-01-01 14:00:00,,,,,7373.21403135646,,,1822.48013319348,8018.927077746581,2551.49119125094,,2205.13421636958,,,,45790.244592622315,,,,,,,8819.43390700209,3158.07180049381,,,0.0058264676284244,,,
2040-01-01 15:00:00,,,,,8380.65006338929,,,1822.48407896568,0.2018156734645632,2551.4875548585,,,,,,45790.24275202552,,,,158.954221293435,,,10092.3018553554,,,,0.0148504670668581,,227.645176679706,
2040-01-01 16:00:00,,,,,8492.46769908877,,,1822.48686950546,0.2049401405172552,2551.48780249625,,,,,,45790.261755405765,,,,918.331085847207,,,10233.1013611097,,,,0.0214259498101418,,1315.18298167136,
2040-01-01 17:00:00,,,,,8419.461075625,,,1822.48764442193,0.2061426622311072,2551.48791051319,,,,,,45790.26759180126,,,,1364.3073148274,,,10141.5748388837,,,,0.0258860064607029,,1953.88563645012,
2040-01-01 18:00:00,,,,,8579.36666169239,,,1822.48767029289,0.2070230011672502,2551.48799683187,,,,,,45790.26783808924,,,,1295.18794566964,,,10338.0923306279,,,,0.0261898189618396,,1854.89668163005,
2040-01-01 19:00:00,,,,,8530.17010054106,,,1822.4868056826,0.20801823179756562,2551.48805653678,,,,,,45790.26072190101,,,,309.705215590331,,,10279.1198194703,,,,0.021005431437894,,443.542492468138,
2040-01-01 20:00:00,,,,,8506.71561656434,,,1822.48372917903,0.2090615715277956,2551.48810266206,,20.2363491999815,,,,45790.23815479173,,,,,,,10249.1837522987,28.9816588402227,,,0.0136293936541621,,,
2040-01-01 21:00:00,,,,,8617.7417026115,,,1822.48366387067,0.206790218390069,2551.48811596226,,,,,,45790.237411958464,,,,213.903671328872,,,10384.1395308143,,,,0.0136895211074737,,306.340821709678,
2040-01-01 22:00:00,,,,,8743.47198547898,,,1822.48364022668,0.1806842098525154,2551.48814930282,,,,,,45790.23691018128,,,,618.663945783685,,,10539.01816987,,,,0.0137143745997108,,886.016245099642,
2040-01-01 23:00:00,,,,,8801.35992841061,,,1822.48367340634,0.18254857028787902,2551.48811360448,,,,,,45790.237111008086,,,,705.651169723576,,,10608.8858055304,,,,0.0139165999314551,,1010.59456586133,
2040-01-02 00:00:00,,,,,8740.90288841621,,,1822.48667334216,0.206573722260495,2551.48814742641,,,,,,45790.2592290524,,,,1238.45525232951,,,10536.6080496072,,,,0.0210091189633197,,1773.64727315306,
2040-01-02 01:00:00,,,,,8780.86151567213,,,1822.48591912586,0.2062884485011574,2551.48622153241,,,,,,45790.23653965761,,,,1651.326960142,,,10586.1579129789,,,,0.0357740012681721,,2364.93941644064,
2040-01-02 02:00:00,,,,,8760.96460652136,,,1822.48499640461,0.2061294857485524,2551.48713364739,,,,,,45790.23650778256,,,,1502.66468723518,,,10562.5223446929,,,,0.0216383057639437,,2152.03349504989,
2040-01-02 03:00:00,,,,,8640.31361835973,,,1822.48551972923,0.21331486791466459,2551.48748499185,,,,,,45790.24391402087,,,,739.24051161693,,,10415.7426927301,,,,0.0215984355367199,,1058.69935112913,
2040-01-02 04:00:00,,,,,8595.12955398328,,,1822.48906790678,0.20945845919142,2551.4881527738,,,,,,45790.28078105407,,,,1123.36847980612,,,10361.3364060867,,,,0.0514685363954155,,1608.8263020083,
2040-01-02 05:00:00,,,,,8639.00609141574,,,1822.47250933993,0.03804448857208639,2551.4683674527,,,,,,45789.97310560493,,,,1635.76286091952,,,10416.7526644024,,,,0.0508603499103058,,2342.64937782286,
